hora,estado,potencia_W,kWh_intervalo,kWh_acumulado
2026-07-02 22:20:45,ON,11.74,0.000978,0.000978
2026-07-02 22:38:35,ON,10.588,0.000882,0.000882
2026-07-02 22:39:38,ON,11.569,0.000964,0.000964
2026-07-02 22:44:38,ON,10.977,0.000915,0.001879
2026-07-02 22:49:38,ON,79.001,0.006583,0.008462
2026-07-02 22:54:39,ON,30.973,0.002581,0.011043
2026-07-02 22:59:39,ON,38.186,0.003182,0.014225
2026-07-02 23:04:39,ON,68.035,0.00567,0.019895
2026-07-02 23:09:40,ON,63.261,0.005272,0.025167
2026-07-02 23:14:40,ON,30.528,0.002544,0.027711
2026-07-02 23:19:40,ON,38.626,0.003219,0.03093
2026-07-02 23:24:41,ON,31.918,0.00266,0.033589
