runtime,cpu_usage,memory
5.29,747%,5028
5.26,739%,5052
5.12,773%,5028
5.31,747%,5132
5.32,749%,4980
5.12,772%,5028
5.26,752%,4964
5.15,771%,5028
5.28,749%,5000
5.16,769%,5156
5.28,749%,5008
5.31,739%,5028
5.16,765%,5028
5.18,762%,5072
5.19,764%,4928
5.22,756%,4920
5.24,746%,5028
5.31,741%,5156
5.15,770%,5156
5.19,766%,5160
5.22,754%,5044
5.35,732%,5076
5.14,770%,5108
5.24,755%,5160
5.19,748%,5028
5.23,768%,5028
5.25,748%,5028
5.21,758%,4964
5.27,753%,5172
5.14,770%,5024
5.33,733%,5028
5.28,745%,4928
5.23,743%,5168
5.20,759%,5176
5.18,757%,5056
5.34,739%,5080
5.33,740%,5076
5.17,767%,5172
5.21,749%,5060
5.23,750%,5152
5.05,785%,5076
5.23,752%,5028
5.15,769%,5184
5.35,737%,5028
5.17,769%,5156
5.16,772%,4924
5.27,746%,4980
5.18,761%,4920
5.23,749%,5052
5.21,755%,5056
5.17,767%,5028
5.26,751%,4964
5.19,766%,5132
5.22,755%,5092
5.24,758%,5028
5.15,765%,5028
5.16,768%,4928
5.18,761%,5092
5.18,768%,5088
5.33,739%,5028
5.20,763%,5080
5.12,773%,5028
5.23,755%,5028
5.25,746%,5044
5.28,751%,4964
5.27,738%,5028
5.22,751%,5104
5.28,743%,5028
5.19,760%,5028
5.24,745%,5156
5.31,744%,5164
5.17,765%,5028
5.23,754%,4920
5.16,767%,5028
5.13,772%,5092
5.18,761%,5168
5.22,762%,5028
5.21,762%,5076
5.22,761%,5156
5.14,773%,5024
5.31,747%,5092
5.24,743%,5208
5.28,753%,5060
5.25,752%,4840
5.25,748%,5148
5.23,756%,5028
5.23,756%,5132
5.12,775%,5136
5.15,765%,5160
5.20,760%,5092
5.18,760%,5156
5.26,750%,5028
5.21,755%,5092
5.25,750%,5152
5.13,769%,5152
5.18,765%,5028
5.25,751%,5152
5.16,769%,5056
5.19,755%,5092
5.25,757%,5156
