runtime,cpu_usage,memory
0.59,99%,5604
0.59,100%,5740
0.63,100%,5636
0.59,100%,5616
0.59,100%,5636
0.59,100%,5592
0.59,99%,5660
0.59,100%,5660
0.59,100%,5744
0.59,100%,5744
0.66,100%,5596
0.59,100%,5648
0.59,100%,5656
0.59,99%,5660
0.59,99%,5636
0.59,99%,5600
0.59,100%,5744
0.59,100%,5660
0.59,100%,5672
0.59,100%,5744
0.59,100%,5736
0.59,99%,5644
0.59,100%,5628
0.59,99%,5740
0.59,100%,5656
0.59,100%,5740
0.59,100%,5740
0.59,100%,5592
0.59,100%,5680
0.59,99%,5584
0.59,100%,5612
0.67,100%,5708
0.67,100%,5596
0.59,99%,5744
0.59,100%,5740
0.59,99%,5584
0.59,99%,5684
0.59,100%,5672
0.59,100%,5548
0.59,100%,5600
0.59,100%,5744
0.59,100%,5644
0.59,99%,5652
0.59,99%,5736
0.59,99%,5644
0.62,100%,5732
0.67,100%,5604
0.59,100%,5684
0.59,100%,5584
0.59,100%,5584
0.59,100%,5740
0.59,100%,5744
0.59,100%,5740
0.59,100%,5660
0.59,100%,5604
0.59,100%,5740
0.59,100%,5628
0.59,99%,5744
0.59,100%,5600
0.59,100%,5468
0.59,100%,5652
0.59,99%,5680
0.60,99%,5600
0.59,100%,5684
0.59,100%,5604
0.59,100%,5728
0.59,99%,5648
0.59,99%,5744
0.59,100%,5744
0.59,100%,5600
0.59,100%,5340
0.59,100%,5740
0.59,99%,5628
0.59,99%,5600
0.59,100%,5584
0.59,99%,5596
0.59,99%,5612
0.59,100%,5596
0.59,99%,5592
0.68,100%,5644
0.59,99%,5660
0.59,100%,5744
0.59,100%,5656
0.60,100%,5708
0.68,100%,5584
0.59,100%,5704
0.59,100%,5652
0.59,99%,5708
0.59,99%,5612
0.60,99%,5656
0.62,99%,5604
0.59,100%,5660
0.59,99%,5584
0.59,100%,5668
0.59,100%,5684
0.59,100%,5584
0.59,100%,5636
0.59,100%,5684
0.59,100%,5628
0.59,99%,5544
