runtime,cpu_usage,memory
3.35,356%,161264
3.31,361%,160552
3.45,348%,161184
3.42,348%,160000
3.32,361%,161316
3.30,362%,159696
3.32,361%,161036
3.32,357%,159784
3.29,362%,160420
3.33,361%,161104
3.33,358%,161420
3.32,360%,160680
3.38,353%,161484
3.40,354%,159348
3.31,359%,160704
3.34,361%,161072
3.34,358%,160772
3.31,369%,159352
3.32,360%,161340
3.33,362%,160652
3.24,371%,161464
3.44,351%,161100
3.39,355%,159732
3.39,356%,160532
3.29,362%,161464
3.38,355%,159752
3.35,355%,161492
3.41,352%,160748
3.41,355%,160464
3.42,351%,160568
3.38,352%,159572
3.34,357%,161480
3.51,345%,161360
3.31,359%,161196
3.40,358%,161400
3.30,367%,160024
3.31,359%,159848
3.39,353%,161412
3.46,353%,160532
3.33,359%,160604
3.45,346%,159772
3.36,357%,160504
3.39,355%,161488
3.28,364%,159232
3.49,348%,160464
3.37,355%,160464
3.34,360%,160496
3.43,350%,163312
3.33,360%,161192
3.35,361%,160436
3.42,351%,161424
3.37,357%,161528
3.31,363%,160584
3.35,355%,160504
3.42,351%,160504
3.35,360%,161380
3.32,360%,160244
3.53,345%,159616
3.32,364%,160664
3.33,356%,160320
3.33,360%,160672
3.42,352%,160036
3.35,358%,160216
3.33,358%,161360
3.37,356%,160636
3.41,352%,160544
3.41,350%,160684
3.31,360%,162712
3.37,354%,160676
3.39,357%,162704
3.32,361%,160304
3.37,356%,160760
3.41,352%,160672
3.33,360%,161380
3.39,354%,161140
3.30,361%,159336
3.31,359%,162408
3.39,354%,161520
3.44,349%,160496
3.32,358%,160608
3.37,351%,160356
3.27,365%,160792
3.29,366%,161368
3.37,356%,160892
3.26,366%,160680
3.25,366%,159368
3.54,344%,160992
3.31,362%,161328
3.33,362%,160624
3.40,354%,161360
3.34,358%,160676
3.31,358%,161620
3.33,362%,160376
3.28,366%,160428
3.41,353%,160164
3.36,354%,159228
3.42,351%,160508
3.32,362%,161448
3.38,355%,160520
3.28,364%,160264
