runtime,cpu_usage,memory
0.34,383%,5476
0.34,383%,5680
0.38,382%,5580
0.34,382%,5640
0.34,383%,5608
0.39,381%,5572
0.37,371%,5416
0.35,383%,5676
0.34,384%,5592
0.38,382%,5528
0.34,382%,5576
0.39,356%,5440
0.35,378%,5600
0.35,381%,5492
0.37,384%,5544
0.35,379%,5536
0.36,384%,5520
0.47,336%,5428
0.34,384%,5544
0.39,383%,5572
0.34,379%,5596
0.36,383%,5408
0.35,384%,5576
0.34,380%,5620
0.36,378%,5580
0.35,383%,5680
0.36,383%,5492
0.34,384%,5572
0.40,381%,5492
0.37,371%,5464
0.36,385%,5500
0.35,383%,5528
0.38,381%,5304
0.38,378%,5340
0.36,383%,5620
0.35,384%,5556
0.34,381%,5716
0.35,384%,5580
0.40,384%,5680
0.50,321%,5348
0.34,381%,5416
0.37,381%,5588
0.35,380%,5548
0.34,383%,5556
0.39,365%,5440
0.41,378%,5716
0.35,380%,5640
0.38,382%,5444
0.37,382%,5452
0.39,372%,5552
0.35,380%,5724
0.34,383%,5432
0.35,380%,5476
0.41,365%,5440
0.36,382%,5472
0.34,383%,5620
0.35,380%,5600
0.34,382%,5724
0.34,382%,5480
0.40,366%,5364
0.42,355%,5552
0.39,367%,5288
0.38,369%,5368
0.35,382%,5672
0.34,382%,5584
0.36,383%,5688
0.34,382%,5588
0.40,358%,5584
0.40,382%,5488
0.34,379%,5288
0.36,383%,5568
0.35,382%,5356
0.36,373%,5416
0.35,381%,5580
0.38,368%,5356
0.39,357%,5572
0.34,380%,5492
0.34,382%,5680
0.35,381%,5644
0.36,382%,5684
0.36,384%,5512
0.37,383%,5452
0.39,363%,5576
0.35,384%,5572
0.37,381%,5644
0.36,383%,5512
0.35,383%,5544
0.37,378%,5456
0.37,380%,5552
0.35,380%,5352
0.57,312%,5160
0.34,382%,5556
0.35,381%,5420
0.38,382%,5588
0.34,384%,5600
0.34,382%,5604
0.34,383%,5572
0.35,383%,5692
0.41,357%,5620
0.39,376%,5448
