runtime,cpu_usage,memory
21.67,165%,2688044
21.18,165%,2768088
21.46,164%,3014036
21.61,163%,3028772
21.22,166%,3034912
21.43,164%,3031360
21.59,162%,3036728
21.75,163%,3053992
21.35,163%,2709684
21.93,166%,3043940
21.64,164%,3056176
21.79,162%,3049772
21.68,165%,3044572
21.67,164%,3050608
21.92,166%,3041656
21.57,163%,3061160
21.73,165%,3048680
22.06,162%,3091416
21.45,163%,3030048
21.60,163%,3051640
22.09,161%,3079904
21.64,163%,3061884
21.62,165%,3055444
21.31,165%,3053096
21.38,165%,3057584
21.32,164%,3033508
21.61,164%,3161172
21.58,164%,3161200
21.30,164%,3155004
21.35,165%,3157672
21.31,165%,3021908
21.42,166%,3156544
21.32,164%,3030312
21.45,165%,3151804
21.92,163%,3167348
21.87,167%,3160728
23.26,174%,3150436
21.37,167%,2891756
21.59,163%,3159288
21.47,165%,2869164
21.69,164%,3165336
22.10,161%,3194460
21.52,167%,2897096
21.37,165%,3172476
21.47,164%,3155152
21.56,166%,3152776
21.22,167%,3138884
21.22,164%,3157880
21.48,163%,3110424
21.39,164%,3168244
21.44,163%,2991988
21.52,163%,3163800
21.48,163%,3158864
21.61,162%,3164236
21.32,165%,3019008
21.20,164%,3164808
21.66,163%,3074456
21.46,164%,3166136
21.74,164%,3159212
21.62,163%,3122620
21.97,163%,3156064
22.12,163%,3182776
21.70,164%,2866604
22.06,163%,3152916
23.33,165%,2790928
21.39,168%,2876752
21.59,164%,3153244
21.84,165%,3107744
21.80,163%,3020240
21.31,164%,3133676
21.66,163%,3159452
22.16,162%,3173332
21.46,168%,3107624
21.41,163%,3171004
21.39,165%,3160864
21.26,166%,2902028
21.44,165%,3171904
21.67,164%,3128228
21.44,162%,3150628
21.71,163%,2970604
21.67,167%,3142284
21.72,166%,2934444
21.46,163%,3157428
21.63,164%,3010176
21.53,167%,3112508
21.32,168%,2776996
22.18,162%,3163036
21.97,162%,3173744
21.41,167%,3109228
21.54,164%,3162916
21.75,163%,3163384
21.78,166%,3154516
21.28,166%,3012556
21.43,168%,3128648
21.58,164%,3008928
21.31,165%,3045056
21.84,162%,3157820
21.34,167%,3112520
21.49,164%,3154132
21.41,166%,3053872
