hora,estado,potencia_W,kWh_intervalo,kWh_acumulado
2026-07-03 05:12:23,ON,11.463,0.000955,0.000955
2026-07-03 05:15:35,ON,11.172,0.000931,0.000931
2026-07-03 05:38:36,ON,11.445,0.000954,0.000954
2026-07-03 05:47:26,ON,11.647,0.000971,0.000971
2026-07-03 05:52:43,ON,10.686,0.00089,0.00089
2026-07-03 05:57:43,ON,35.465,0.002955,0.003846
2026-07-03 06:02:44,ON,36.858,0.003071,0.006917
2026-07-03 06:07:44,ON,39.041,0.003253,0.010171
2026-07-03 06:12:45,ON,37.37,0.003114,0.013285
2026-07-03 06:17:45,ON,39.423,0.003285,0.01657
2026-07-03 06:22:45,ON,61.502,0.005125,0.021695
2026-07-03 06:27:46,ON,38.476,0.003206,0.024902
2026-07-03 06:32:46,ON,82.179,0.006848,0.03175
2026-07-03 06:37:47,ON,82.275,0.006856,0.038606
2026-07-03 06:42:47,ON,82.247,0.006854,0.04546
2026-07-03 06:47:47,ON,81.828,0.006819,0.052279
2026-07-03 06:52:48,ON,82.599,0.006883,0.059162
2026-07-03 06:57:48,ON,82.442,0.00687,0.066033
2026-07-03 07:02:48,ON,67.811,0.005651,0.071684
2026-07-03 07:07:49,ON,56.053,0.004671,0.076355
2026-07-03 07:12:49,ON,78.742,0.006562,0.082916
2026-07-03 07:17:49,ON,81.033,0.006753,0.089669
2026-07-03 07:22:50,ON,81.4,0.006783,0.096453
2026-07-03 07:27:50,ON,28.742,0.002395,0.098848
2026-07-03 07:32:50,ON,28.601,0.002383,0.101231
2026-07-03 07:37:51,ON,26.997,0.00225,0.103481
2026-07-03 07:42:51,ON,28.281,0.002357,0.105838
2026-07-03 07:47:51,ON,28.295,0.002358,0.108196
2026-07-03 07:52:52,ON,30.52,0.002543,0.110739
2026-07-03 07:57:52,ON,66.785,0.005565,0.116304
2026-07-03 08:02:52,ON,51.802,0.004317,0.120621
2026-07-03 08:07:53,ON,74.343,0.006195,0.126816
