runtime,cpu_usage,memory
3.88,460%,186884
3.79,469%,187328
3.83,470%,187360
3.87,501%,186704
3.85,459%,187424
3.66,483%,186920
3.68,483%,187624
3.96,456%,187452
3.92,461%,187432
3.81,477%,187440
3.88,470%,187032
3.84,470%,187252
3.92,454%,187204
3.99,452%,187472
3.87,459%,187484
3.78,506%,187128
3.82,465%,187204
3.70,477%,187128
3.81,475%,187608
3.91,464%,187516
3.89,458%,187144
3.73,486%,187224
3.94,457%,187388
3.95,457%,187012
3.71,486%,187176
4.00,487%,187336
3.92,495%,187544
4.00,454%,187452
3.59,541%,187036
3.95,458%,187200
3.88,465%,187428
3.83,508%,187152
3.80,465%,187232
3.78,473%,187180
3.86,466%,187152
3.96,449%,187460
3.81,473%,187300
3.82,458%,187444
3.84,473%,187464
3.88,464%,187544
3.73,483%,187488
3.94,455%,187552
3.88,470%,187364
3.93,462%,187676
3.73,511%,187628
3.88,499%,187204
3.81,467%,187108
3.75,481%,187480
3.90,494%,187052
3.81,470%,187384
3.95,448%,187316
4.01,452%,187352
3.80,470%,187224
3.74,476%,186976
3.77,474%,187260
3.76,489%,187372
3.85,459%,187312
3.88,463%,187164
3.75,481%,187172
3.79,493%,187448
3.94,495%,187492
3.69,484%,187208
4.02,493%,187704
3.92,460%,187420
3.77,481%,187272
3.88,460%,187396
3.90,455%,187436
3.78,480%,187428
3.83,461%,187000
3.65,513%,187260
3.89,459%,187084
3.83,467%,187444
3.83,457%,187348
3.91,457%,187284
3.84,456%,187172
3.75,477%,187544
3.93,464%,187652
3.87,457%,187240
3.86,471%,186968
3.89,456%,187716
3.90,465%,187372
3.85,468%,187132
3.53,551%,187416
3.76,470%,186864
3.87,459%,186968
3.80,504%,187424
3.77,464%,186904
3.88,461%,187008
4.00,454%,187252
4.00,490%,187344
3.84,461%,187188
3.83,506%,187436
3.85,461%,187248
3.91,457%,187420
3.87,494%,187184
3.91,490%,187380
3.78,472%,187496
3.86,462%,187404
3.95,461%,187096
3.74,475%,187252
