runtime,cpu_usage,memory
5.23,99%,42644
5.22,100%,42528
5.22,100%,42612
5.20,100%,42480
5.43,100%,42404
5.23,99%,42484
5.20,100%,42432
5.19,100%,42448
5.55,100%,42428
5.58,100%,42452
5.19,100%,42336
5.50,100%,42648
5.22,100%,42632
5.55,100%,42448
5.25,99%,42532
5.29,100%,42616
5.19,100%,42584
5.26,99%,42192
5.20,100%,42488
5.08,99%,42448
5.20,100%,42560
5.22,100%,42428
5.16,100%,42420
5.22,100%,42564
5.19,100%,42512
5.51,100%,42492
5.16,100%,42256
5.52,100%,42428
5.15,100%,42600
5.20,100%,42572
5.51,100%,42520
5.16,100%,42420
5.19,100%,42560
5.20,100%,42200
5.14,100%,42444
5.17,100%,42432
5.21,100%,42572
5.53,100%,42536
5.14,100%,42632
5.50,100%,42420
5.13,100%,42632
5.19,100%,42372
5.51,100%,42416
5.17,100%,42440
5.14,100%,42448
5.23,100%,42512
5.54,100%,42488
5.18,100%,42300
5.14,100%,42452
5.18,100%,42332
5.17,100%,42616
5.20,100%,42612
5.17,100%,42112
5.17,100%,42532
5.20,100%,42444
5.17,100%,42380
5.18,100%,42452
5.53,99%,42640
5.20,100%,42488
5.19,100%,42304
5.54,99%,42556
5.51,100%,42628
5.19,100%,42356
5.15,100%,42484
5.18,100%,42584
5.09,100%,42696
5.52,100%,42292
5.21,99%,42512
5.23,99%,42504
5.20,100%,42220
5.19,100%,42552
5.14,100%,42420
5.17,100%,42492
5.10,100%,42632
5.20,100%,42252
5.16,100%,42560
5.17,100%,42620
5.23,100%,42248
5.17,100%,42536
5.17,100%,42456
5.19,100%,42636
5.20,99%,42372
5.50,100%,42548
5.18,100%,42664
5.20,100%,42608
5.19,100%,42444
5.18,100%,42632
5.19,100%,42340
5.15,100%,42560
5.55,100%,42556
5.17,100%,42812
5.14,100%,42452
5.54,100%,42448
5.19,100%,42252
5.47,100%,42356
5.52,100%,42576
5.12,100%,42640
5.16,100%,42164
5.58,99%,42512
5.18,100%,42448
