runtime,cpu_usage,memory
1.70,404%,767336
1.44,337%,765856
1.40,345%,766164
1.46,334%,766240
1.41,341%,766328
1.75,394%,767284
1.42,341%,766172
1.72,400%,766952
1.44,335%,766096
1.69,391%,767380
1.42,342%,765968
1.75,395%,767272
1.40,345%,765940
1.43,338%,766180
1.46,333%,766344
1.44,339%,765760
1.46,334%,766700
1.44,337%,766208
1.43,339%,765956
1.71,396%,767632
1.48,331%,766104
1.51,328%,767488
1.45,336%,766340
1.46,335%,766088
1.68,409%,767836
1.75,393%,768232
1.72,397%,767468
1.75,363%,767224
1.71,377%,766832
1.75,395%,767344
1.42,341%,766276
1.44,335%,766404
1.44,337%,766024
1.49,334%,767216
1.72,397%,767300
1.42,343%,766356
1.78,385%,767276
1.68,402%,767312
1.77,369%,767296
1.44,340%,766308
1.68,405%,767292
1.43,340%,766760
1.41,343%,766312
1.43,339%,766388
1.69,404%,767264
1.75,392%,767460
1.43,338%,766076
1.69,402%,767084
1.45,335%,766172
1.43,339%,768172
1.44,338%,766400
1.65,412%,767104
1.45,336%,766344
1.70,401%,767056
1.71,400%,767184
1.40,345%,768232
1.43,340%,765956
1.74,396%,767552
1.76,394%,767316
1.46,334%,766200
1.77,397%,767428
1.70,404%,769188
1.48,330%,766624
1.42,341%,766148
1.72,396%,767632
1.45,336%,765808
1.70,382%,767184
1.41,345%,766268
1.71,393%,767036
1.71,399%,767124
1.71,397%,767204
1.66,404%,767444
1.77,391%,767348
1.74,393%,767112
1.74,394%,767368
1.72,399%,767152
1.70,398%,767036
1.46,334%,766420
1.42,342%,766304
1.68,407%,767772
1.47,333%,766048
1.45,336%,766064
1.75,393%,767080
1.45,336%,766264
1.74,393%,767092
1.72,399%,768952
1.72,399%,767516
1.72,375%,767516
1.70,402%,767140
1.48,333%,765956
1.43,342%,766252
1.74,396%,766976
1.84,384%,767256
1.76,393%,766832
1.69,404%,767204
1.41,343%,766080
1.67,409%,767188
1.44,336%,766208
1.45,336%,766248
1.39,347%,766208
