runtime,cpu_usage,memory
2.76,237%,1024672
2.78,236%,1024480
2.77,236%,1026248
2.76,237%,1024688
2.73,238%,1024424
2.75,238%,1026164
2.70,241%,1024792
2.74,238%,1024840
2.78,236%,1024692
2.77,237%,1025852
2.75,237%,1024960
2.76,237%,1024536
2.74,238%,1024844
2.77,236%,1024572
2.72,239%,1024356
2.72,239%,1024476
2.76,237%,1026216
2.77,236%,1024420
2.73,242%,1024556
2.71,240%,1024752
2.74,238%,1026240
2.77,236%,1024516
2.77,236%,1024444
2.72,239%,1026504
2.75,238%,1024224
2.75,237%,1024732
2.76,236%,1024800
2.77,236%,1025820
2.74,238%,1024368
2.77,236%,1024588
2.74,238%,1024900
2.72,240%,1026316
2.74,238%,1024432
2.71,240%,1024708
2.73,239%,1024748
2.76,236%,1024588
2.78,236%,1024568
2.74,238%,1024468
2.75,237%,1024840
2.73,239%,1024636
2.79,234%,1024456
2.77,237%,1024556
2.74,238%,1024520
2.77,236%,1024768
2.79,236%,1024612
2.77,236%,1026148
2.73,239%,1024572
2.75,237%,1024828
2.73,239%,1024864
2.74,238%,1024476
2.73,238%,1024912
2.76,236%,1024528
2.76,236%,1024844
2.79,235%,1024096
2.72,239%,1024780
2.75,238%,1024576
2.75,238%,1024348
2.74,239%,1024620
2.75,237%,1024500
2.76,237%,1026448
2.77,236%,1024492
2.75,237%,1024968
2.77,236%,1024684
2.74,239%,1026132
2.72,239%,1024512
2.74,239%,1024904
2.77,237%,1024648
2.73,239%,1024408
2.75,238%,1024776
2.76,237%,1024620
2.75,237%,1025972
2.72,240%,1024440
2.78,235%,1024712
2.73,239%,1024500
2.76,236%,1026076
2.78,236%,1024844
2.77,236%,1024624
2.77,236%,1026300
2.72,241%,1024772
2.74,238%,1024664
2.74,238%,1024588
2.71,240%,1026284
2.75,237%,1024784
2.72,240%,1024708
2.76,237%,1024548
2.76,238%,1024528
2.75,238%,1024636
2.72,240%,1024564
2.73,238%,1024568
2.76,237%,1024628
2.74,239%,1024292
2.77,236%,1024880
2.74,238%,1024684
2.79,234%,1024468
2.76,237%,1024452
2.77,236%,1024748
2.79,234%,1024384
2.74,238%,1024180
2.78,235%,1024560
2.76,237%,1026492
