runtime,cpu_usage,memory
1.94,779%,30208
1.96,779%,29952
2.02,779%,29568
4.30,785%,29952
2.06,780%,29824
2.77,781%,30080
3.53,776%,29696
2.11,781%,29696
3.73,786%,29568
2.61,769%,29696
2.15,779%,29568
4.31,779%,29568
2.14,780%,29824
3.08,783%,29952
3.31,763%,29312
2.16,780%,29568
4.28,763%,29696
2.16,769%,29696
2.67,784%,29696
2.77,780%,29696
2.77,779%,29696
2.76,780%,29312
2.75,781%,29696
2.75,781%,30080
2.75,780%,29952
2.75,780%,29056
2.74,781%,29440
2.74,781%,29696
2.74,782%,29824
2.74,781%,29696
2.75,781%,29824
2.75,780%,29824
2.75,780%,29568
2.76,775%,29696
2.75,780%,29952
2.75,781%,29696
2.75,781%,29696
2.74,781%,29952
2.75,781%,29568
2.75,780%,29312
2.74,780%,29696
2.84,753%,30080
2.75,781%,29568
2.75,781%,29440
2.74,781%,29824
2.74,782%,29696
2.74,781%,29696
2.74,781%,29568
2.75,781%,29696
2.75,781%,29696
2.75,780%,29824
2.75,779%,29824
2.75,781%,29952
2.75,780%,29568
2.75,781%,29312
2.75,780%,29952
2.75,780%,29696
2.75,781%,29696
2.75,781%,29696
2.76,774%,29824
2.75,781%,29696
2.75,781%,29696
2.75,780%,29568
2.75,780%,29312
2.75,780%,29824
2.75,781%,29824
2.74,781%,29696
2.75,781%,29696
2.75,781%,29696
2.75,781%,29568
2.75,781%,30080
2.75,781%,29952
2.82,758%,29312
2.74,781%,29568
2.75,780%,29312
2.75,781%,29568
2.82,760%,29824
2.74,781%,30080
2.75,781%,29696
2.75,781%,29696
2.78,773%,29312
2.76,781%,29568
2.75,781%,29696
2.83,757%,29696
2.75,781%,29568
2.75,781%,29696
2.76,781%,29568
2.76,781%,29696
2.76,781%,29952
2.76,781%,29824
2.76,780%,29568
2.75,781%,29952
2.76,781%,29568
2.75,781%,29568
2.75,781%,29952
2.75,781%,29824
2.76,781%,29696
2.75,780%,29696
2.74,781%,29952
2.75,781%,29568
