runtime,cpu_usage,memory
2.24,100%,134400
2.43,99%,134272
2.34,99%,134272
2.28,100%,134400
2.24,99%,134400
2.23,100%,134400
2.24,100%,134272
2.24,100%,134400
2.47,99%,134400
2.24,100%,134400
2.33,99%,134400
2.23,99%,134400
2.23,100%,134400
2.24,99%,134400
2.23,100%,134400
3.52,99%,134400
3.26,99%,134272
2.23,99%,134272
2.24,100%,134400
3.03,99%,134272
3.76,99%,134272
2.23,99%,134400
4.67,100%,134400
2.23,99%,134144
2.24,100%,134400
2.26,100%,134400
2.42,99%,134400
2.23,99%,134400
2.28,100%,134400
2.39,99%,134400
2.23,99%,134400
2.23,100%,134400
2.24,100%,134272
2.24,99%,134400
2.91,99%,134272
3.86,99%,134400
2.24,99%,134144
4.68,99%,134272
2.23,99%,134272
2.23,100%,134400
2.25,99%,134272
2.41,99%,134272
2.26,99%,134400
4.49,99%,134400
2.36,99%,134400
2.87,99%,134400
3.91,99%,134272
2.23,100%,134400
3.41,99%,134400
3.37,99%,134272
2.23,99%,134272
2.24,99%,134400
2.23,99%,134272
3.38,99%,134400
3.40,99%,134272
2.24,99%,134400
2.23,100%,134272
2.30,99%,134272
2.39,99%,134400
2.23,100%,134400
3.08,99%,134400
3.73,99%,134400
2.26,100%,134272
2.25,100%,134400
2.63,99%,134272
4.15,99%,134400
2.24,100%,134272
2.23,99%,134400
2.24,100%,134144
2.24,100%,134400
3.12,100%,134272
3.67,100%,134400
2.23,100%,134272
4.67,99%,134272
2.23,100%,134400
2.23,99%,134272
2.23,99%,134400
3.07,99%,134400
3.70,99%,134272
2.23,100%,134400
3.61,99%,134272
3.18,99%,134400
2.25,100%,134272
2.23,99%,134400
2.25,99%,134400
3.81,99%,134144
3.05,99%,134400
2.24,100%,134400
2.23,100%,134400
3.15,99%,134272
3.62,99%,134144
2.23,99%,134272
3.77,99%,134272
3.04,99%,134272
2.23,100%,134272
2.68,99%,134400
4.09,100%,134272
2.24,100%,134400
3.26,99%,134400
3.54,99%,134400
