runtime,cpu_usage,memory
1.76,329%,156120
1.73,324%,156372
1.73,328%,156372
1.65,320%,156088
1.73,321%,156500
1.73,326%,156232
1.81,323%,156248
1.72,320%,155864
1.76,326%,156296
1.89,326%,155784
1.70,325%,155964
1.84,311%,156372
3.13,306%,156372
1.96,299%,155732
1.74,326%,156504
2.43,330%,156500
2.78,302%,156116
1.76,325%,156504
1.75,328%,155912
2.63,334%,156120
2.63,304%,156500
1.72,319%,156168
1.73,326%,156168
2.84,329%,155912
2.45,294%,155860
1.72,322%,156376
1.75,325%,156372
1.89,328%,156296
1.74,323%,156120
1.83,327%,156248
1.82,326%,156500
1.84,323%,156168
1.83,325%,156372
1.82,324%,155784
1.85,318%,156244
1.84,321%,156040
1.84,325%,155860
1.83,325%,155400
1.84,319%,156296
1.83,320%,156628
1.84,317%,156168
1.86,325%,155992
1.80,320%,156120
1.89,319%,156244
1.82,326%,155992
1.84,324%,155860
1.83,327%,156116
1.83,321%,156248
1.86,321%,156168
1.82,322%,156244
1.83,327%,156244
1.85,322%,155988
1.85,325%,156372
1.81,324%,156168
1.83,325%,156244
1.87,317%,156516
1.81,324%,156044
1.81,320%,156116
1.82,319%,156116
1.82,323%,156116
1.79,322%,156372
1.85,326%,156244
1.84,316%,156376
1.83,321%,156500
1.81,322%,156116
1.89,322%,156244
1.88,328%,156244
1.81,322%,155732
1.87,321%,156376
1.81,318%,156116
1.82,318%,156248
1.83,322%,156116
1.83,322%,156372
1.82,322%,156500
1.88,328%,156244
1.84,318%,156116
1.85,325%,156376
1.86,321%,156500
1.86,323%,156372
1.80,322%,156248
1.80,321%,156372
1.88,322%,156376
1.84,317%,156372
1.85,323%,156376
1.86,323%,155864
1.84,320%,155988
1.85,321%,156552
1.87,324%,156504
1.88,323%,156040
1.83,323%,155736
1.83,324%,156500
1.82,323%,156116
1.85,325%,155988
1.93,306%,155988
1.85,324%,155860
1.85,323%,155864
1.82,322%,156500
1.85,321%,156500
1.85,320%,156168
1.86,325%,156376
