runtime,cpu_usage,memory
0.83,427%,276704
0.83,424%,276792
0.83,432%,276788
0.84,433%,276704
0.88,411%,276668
0.87,415%,276672
0.83,435%,276664
0.88,405%,276844
0.94,388%,276672
0.87,415%,277060
0.83,434%,277308
0.84,430%,277244
0.84,423%,276668
0.87,406%,276708
0.87,414%,277312
0.83,437%,277164
0.89,398%,276676
0.93,383%,276704
0.83,437%,277316
0.86,410%,277136
0.87,415%,276656
0.85,422%,277108
0.86,416%,276700
0.83,430%,277136
0.83,433%,276708
0.88,408%,276800
0.89,403%,276712
0.86,413%,276864
0.89,403%,276848
0.86,413%,277252
0.86,412%,276672
0.88,404%,276840
0.87,412%,276848
0.89,404%,277172
0.83,434%,276844
0.84,433%,277172
0.87,415%,276836
0.89,401%,277160
0.88,409%,277168
0.85,416%,277132
0.87,413%,277300
0.86,416%,277300
0.91,396%,277116
0.90,400%,277236
0.93,384%,276836
0.88,412%,276772
0.96,379%,276804
0.83,429%,277056
0.87,413%,276708
0.89,415%,276844
0.84,426%,276484
0.88,407%,276724
0.88,407%,276844
0.84,425%,276852
0.83,433%,277136
0.83,432%,276704
0.83,438%,276788
0.88,408%,276848
0.83,432%,276708
0.88,404%,276700
0.83,435%,276848
0.88,408%,276620
0.89,405%,276708
0.90,397%,276664
0.87,401%,276788
0.88,405%,276788
0.83,434%,277132
0.86,414%,277172
0.86,416%,277164
0.84,430%,277316
0.88,404%,276544
0.88,411%,276816
0.87,419%,276720
0.83,431%,276852
0.92,392%,276584
0.88,406%,276788
0.88,409%,276784
0.90,403%,276784
0.89,405%,276852
0.87,409%,276844
0.89,407%,276548
0.87,411%,277136
0.87,411%,276708
0.83,425%,276784
0.91,403%,276704
0.89,411%,276800
0.88,407%,277168
0.90,400%,276844
0.87,412%,276864
0.83,429%,276668
0.83,433%,277192
0.89,405%,276676
0.83,426%,276708
0.83,424%,276664
0.87,417%,277176
0.87,407%,276664
0.88,406%,276792
0.84,428%,276844
0.88,404%,277168
0.87,416%,276732
