runtime,cpu_usage,memory
2.14,136%,1517216
2.07,137%,1517140
2.09,137%,1517264
2.09,137%,1517100
2.09,137%,1517300
2.10,137%,1517172
2.10,137%,1517324
2.11,137%,1517084
2.10,137%,1517196
2.11,137%,1517320
2.48,131%,1517340
3.98,119%,1517348
2.10,137%,1517212
2.11,137%,1517208
2.12,137%,1517216
4.19,140%,1517324
2.21,135%,1517148
2.11,137%,1517440
4.01,142%,1517180
2.39,132%,1517004
2.11,137%,1517264
2.11,137%,1517308
4.09,141%,1517064
2.31,133%,1516984
2.11,137%,1517324
2.57,131%,1517336
3.90,120%,1517140
2.14,137%,1517268
2.53,131%,1517264
3.94,119%,1517264
2.11,137%,1517192
2.44,132%,1517140
4.04,119%,1517384
2.10,137%,1517192
2.14,137%,1517136
2.60,131%,1517044
3.89,120%,1517268
2.12,137%,1517192
2.45,132%,1517184
4.04,119%,1517188
2.12,137%,1517312
2.10,137%,1517340
3.91,143%,1517380
2.51,131%,1517168
2.12,137%,1517336
2.11,137%,1517344
2.14,137%,1517308
4.31,139%,1517188
2.12,137%,1517336
2.61,131%,1517304
3.90,120%,1517272
2.12,137%,1517292
2.11,137%,1517300
2.13,136%,1517272
4.34,139%,1517260
2.13,136%,1517392
2.60,132%,1517196
3.87,120%,1517292
2.11,137%,1517136
2.49,132%,1517176
4.00,119%,1517280
2.13,137%,1517204
2.44,132%,1517452
4.03,119%,1517104
2.11,137%,1516984
2.11,137%,1517260
2.53,131%,1517332
3.97,119%,1517196
2.13,137%,1517260
2.51,131%,1517136
4.01,119%,1517180
2.10,137%,1517372
2.10,143%,1526868
2.16,137%,1517264
4.20,140%,1517456
2.24,135%,1516940
2.52,131%,1517268
3.99,119%,1517188
2.14,137%,1517204
2.10,137%,1517324
2.15,137%,1517172
4.27,139%,1517264
2.19,136%,1517392
2.62,131%,1517320
3.90,120%,1517196
2.13,137%,1517164
2.53,131%,1517340
3.97,119%,1517384
2.16,137%,1517268
2.13,138%,1517044
2.13,137%,1517144
4.36,138%,1517296
2.13,137%,1517124
2.68,132%,1517208
3.83,120%,1517152
2.11,137%,1517156
2.11,137%,1517152
2.20,143%,1517164
2.23,143%,1517180
2.30,141%,1517188
