runtime,cpu_usage,memory
1.07,799%,2368
0.98,799%,2296
0.99,799%,2296
0.98,799%,2296
0.99,796%,2244
1.00,799%,2204
0.99,799%,2396
1.00,799%,2212
0.98,799%,2176
1.08,798%,2176
0.98,800%,2300
0.98,799%,2208
0.98,799%,2248
0.98,799%,2252
1.07,799%,2192
0.98,799%,2296
0.99,799%,2196
0.98,798%,2244
0.98,799%,2216
0.98,799%,2300
0.98,799%,2176
0.98,799%,2212
0.99,799%,2192
0.98,799%,2316
0.98,798%,2244
0.98,799%,2372
0.98,799%,2196
0.99,799%,2292
0.98,799%,2392
0.98,798%,2296
0.98,799%,2312
0.98,799%,2296
0.98,799%,2176
0.98,799%,2252
0.99,798%,2396
0.98,799%,2252
0.98,799%,2244
0.98,800%,2320
0.98,800%,2312
0.98,799%,2244
0.99,799%,2392
0.99,800%,2256
1.00,799%,2216
0.99,799%,2320
0.98,798%,2372
1.08,799%,2244
1.00,799%,2296
0.99,799%,2212
0.98,799%,2392
1.00,799%,2300
0.98,799%,2292
0.98,799%,2312
0.98,800%,2216
0.98,799%,2296
0.98,798%,2136
0.98,799%,2368
0.98,800%,2320
1.00,799%,2180
0.99,799%,2368
0.99,799%,2244
0.99,799%,2296
0.98,799%,2212
0.98,799%,2308
0.98,799%,2316
0.98,799%,2372
0.99,799%,2196
0.98,799%,2208
0.98,800%,2208
0.98,799%,2256
0.98,800%,2224
0.98,799%,2248
0.98,799%,2176
0.98,799%,2212
0.98,799%,2212
0.98,798%,2192
0.98,799%,2212
0.98,800%,2220
0.98,799%,2224
0.98,799%,2212
0.99,799%,2320
0.98,799%,2240
0.98,799%,2192
0.98,799%,2392
0.98,799%,2256
0.98,799%,2296
0.98,799%,2288
0.98,799%,2196
0.98,798%,2308
0.99,799%,2296
0.98,799%,2288
0.98,800%,2176
0.99,799%,2368
0.98,799%,2176
0.98,800%,2176
0.98,799%,2288
0.98,799%,2296
0.98,799%,2292
0.98,799%,2392
0.98,799%,2296
0.99,799%,2244
