runtime,cpu_usage,memory
5.33,635%,1792
5.49,634%,1920
6.76,580%,1920
7.21,617%,1920
7.23,631%,1920
7.18,657%,1664
7.27,677%,1920
7.22,639%,1920
7.21,638%,1792
7.20,637%,1792
7.14,639%,1920
7.18,637%,1792
7.18,637%,1792
7.16,638%,1920
7.18,637%,1792
7.15,637%,1792
7.17,637%,1792
7.13,640%,1792
7.14,640%,1920
7.15,640%,1920
7.19,637%,1920
7.12,640%,1664
7.13,640%,1920
7.16,637%,1920
7.16,636%,1792
7.13,639%,1792
7.13,640%,1920
7.13,639%,1792
7.14,640%,1792
7.16,639%,1792
7.16,637%,1920
7.12,640%,1920
7.15,641%,1792
7.17,637%,1920
7.17,637%,1920
7.14,639%,1920
7.19,638%,1920
7.14,639%,1792
7.14,640%,1920
7.17,640%,1920
7.14,640%,1792
7.17,638%,1792
7.14,639%,1920
7.17,638%,1920
7.16,637%,1920
7.17,637%,1792
7.17,637%,1920
7.17,637%,1920
7.13,640%,1792
7.14,640%,1920
7.18,637%,1920
7.16,637%,1920
7.17,637%,1920
7.16,637%,1920
7.17,637%,1792
7.14,637%,1792
7.14,640%,1792
7.16,640%,1792
7.16,639%,1920
7.19,637%,1792
7.15,640%,1920
7.18,637%,1792
7.15,640%,1920
7.16,639%,1792
7.18,637%,1920
7.16,639%,1792
7.14,639%,1792
7.17,637%,1920
7.14,639%,1920
7.19,637%,1920
7.17,637%,1920
7.17,637%,1792
7.15,639%,1920
7.18,637%,1920
7.18,637%,1920
7.16,639%,1920
7.15,640%,1920
7.15,640%,1920
7.18,637%,1920
7.15,639%,1792
7.19,639%,1920
7.19,637%,1792
7.17,637%,1920
7.18,637%,1920
7.19,637%,1920
7.17,640%,1792
7.18,638%,1920
7.13,639%,1920
7.20,637%,1920
7.18,637%,1920
7.18,637%,1920
7.15,640%,1920
7.18,638%,1920
7.16,639%,1920
7.16,640%,1920
7.16,639%,1664
7.19,637%,1792
7.20,637%,1920
7.14,640%,1920
7.17,640%,1792
