runtime,cpu_usage,memory
0.67,100%,1428
0.66,99%,1548
0.66,100%,1548
0.66,100%,1572
0.66,100%,1524
0.66,99%,1568
0.66,100%,1428
0.67,99%,1536
0.66,100%,1420
0.66,99%,1572
0.67,100%,1524
0.66,100%,1508
0.66,99%,1424
0.66,100%,1536
0.66,99%,1536
0.66,100%,1572
0.66,100%,1488
0.66,99%,1540
0.66,99%,1572
0.66,99%,1424
0.66,99%,1432
0.66,100%,1536
0.66,100%,1512
0.66,100%,1488
0.67,99%,1428
0.66,99%,1488
0.66,99%,1424
0.66,100%,1524
0.66,99%,1432
0.67,100%,1568
0.66,99%,1548
0.67,100%,1572
0.66,100%,1500
0.66,100%,1556
0.66,99%,1556
0.67,99%,1508
0.67,99%,1548
0.66,99%,1392
0.66,99%,1568
0.66,99%,1424
0.67,99%,1568
0.66,99%,1508
0.66,99%,1484
0.67,99%,1532
0.66,100%,1548
0.66,99%,1524
0.66,100%,1524
0.66,99%,1532
0.66,100%,1548
0.66,100%,1548
0.66,100%,1500
0.66,100%,1424
0.67,99%,1532
0.66,100%,1556
0.66,99%,1424
0.66,99%,1500
0.66,100%,1424
0.66,99%,1524
0.66,99%,1428
0.67,99%,1424
0.66,99%,1572
0.66,99%,1428
0.66,100%,1508
0.66,99%,1540
0.66,100%,1532
0.66,100%,1464
0.66,100%,1424
0.66,99%,1432
0.66,100%,1484
0.66,100%,1532
0.66,100%,1556
0.67,99%,1508
0.67,99%,1524
0.66,100%,1488
0.67,99%,1556
0.66,100%,1428
0.67,99%,1420
0.67,99%,1524
0.66,100%,1424
0.66,100%,1524
0.66,99%,1524
0.67,99%,1536
0.66,99%,1540
0.66,100%,1548
0.66,100%,1488
0.66,99%,1572
0.66,100%,1532
0.67,99%,1428
0.66,100%,1420
0.66,99%,1484
0.67,99%,1428
0.66,99%,1524
0.66,100%,1560
0.66,100%,1524
0.66,100%,1572
0.66,99%,1536
0.66,99%,1536
0.66,100%,1388
0.66,99%,1548
0.66,100%,1420
