timestamp,total,psys,package,core,uncore,dram,cpu_temp
2023-10-20T23:22:47,19860301,19596690,19794444,19019971,8667,263611,58000
2023-10-20T23:22:48,19960215,19698191,19769785,19045972,5677,262024,57000
2023-10-20T23:22:49,20045542,19783214,19859386,19118115,7020,262328,63000
2023-10-20T23:22:50,20043712,19781749,19904856,19158886,7080,261963,63000
2023-10-20T23:22:51,20106760,19846140,19977121,19225415,6958,260620,62000
2023-10-20T23:22:51,20157785,19895579,19970103,19232799,6226,262206,63000
2023-10-20T23:22:52,20236032,19975230,20013133,19254223,11658,260802,67000
2023-10-20T23:22:53,20159006,19897838,20017405,19271008,7386,261168,67000
2023-10-20T23:22:54,20293466,20031809,20021128,19273327,6653,261657,69000
2023-10-20T23:22:55,20339670,20077158,20087412,19341808,10193,262512,71000
2023-10-20T23:22:56,20323129,20062204,20090342,19331738,5432,260925,71000
2023-10-20T23:22:57,20544870,20284067,20261667,19511913,8667,260803,72000
2023-10-20T23:22:58,20641244,20380380,20299875,19562083,5493,260864,72000
2023-10-20T23:22:58,20830574,20569161,20296334,19548534,6714,261413,75000
2023-10-20T23:22:59,20838325,20576912,20387643,19610179,7446,261413,74000
2023-10-20T23:23:00,20735910,20473581,20363107,19584972,6836,262329,73000
2023-10-20T23:23:01,20504464,20226083,20076181,19269482,17456,278381,76000
2023-10-20T23:23:02,20510812,20242868,20073069,19287731,9949,267944,75000
2023-10-20T23:23:03,20343820,20077036,19877696,19094128,5921,266784,77000
2023-10-20T23:23:04,20187326,19920359,19758555,18970654,7264,266967,76000
2023-10-20T23:23:05,20063609,19796519,19579113,18787976,6958,267090,76000
2023-10-20T23:23:06,19968211,19701549,19480418,18679517,6226,266662,76000
2023-10-20T23:23:07,19977304,19709605,19489147,18696791,7263,267699,78000
2023-10-20T23:23:07,19998606,19730052,19510326,18710645,6531,268554,76000
2023-10-20T23:23:08,20043589,19775340,19569530,18761122,7324,268249,77000
2023-10-20T23:23:09,20047008,19777904,19569652,18766676,7812,269104,80000
2023-10-20T23:23:10,20088449,19821604,19600169,18791090,7507,266845,79000
