runtime,cpu_usage,memory
0.75,799%,33268
0.75,798%,33332
0.75,799%,33440
0.75,798%,33504
0.75,798%,33184
0.75,798%,33480
0.76,798%,33184
0.75,798%,33060
0.75,798%,33104
0.75,799%,33204
0.75,798%,33104
0.76,798%,33692
0.75,798%,33480
0.75,798%,33368
0.75,798%,33672
0.75,798%,33552
0.76,799%,33116
0.75,798%,33368
0.75,798%,33172
0.75,798%,33308
0.75,799%,33180
0.75,799%,33292
0.75,798%,33164
0.75,798%,33312
0.75,799%,33324
0.75,799%,33416
0.75,799%,33516
0.75,799%,33304
0.75,798%,33112
0.75,799%,33496
0.75,799%,33424
0.75,798%,33244
0.75,799%,33228
0.75,797%,33240
0.75,799%,33304
0.75,798%,33368
0.75,799%,33176
0.75,799%,33232
0.75,798%,33356
0.75,799%,33112
0.75,798%,33068
0.75,798%,33424
0.75,799%,33348
0.75,799%,33132
0.75,798%,33340
0.75,799%,33292
0.75,799%,33780
0.75,799%,33312
0.75,798%,33140
0.75,793%,33388
0.75,798%,33204
0.75,799%,33308
0.76,798%,33004
0.75,798%,33240
0.75,799%,33864
0.75,796%,33088
0.75,798%,33332
0.77,798%,33580
0.75,798%,33304
0.75,798%,33424
0.75,799%,33196
0.75,799%,33244
0.75,798%,33244
0.75,799%,33352
0.75,799%,33260
0.75,799%,33328
0.75,799%,33452
0.75,799%,33372
0.75,799%,33504
0.76,799%,33264
0.75,798%,33040
0.75,799%,33372
0.75,798%,33232
0.75,799%,33432
0.75,798%,33440
0.75,798%,33224
0.75,798%,33184
0.75,798%,33184
0.75,799%,33160
0.75,798%,33352
0.75,798%,33168
0.75,799%,33412
0.75,799%,33356
0.76,798%,33668
0.75,799%,33204
0.75,799%,33312
0.75,799%,33232
0.75,798%,33288
0.75,799%,33296
0.75,798%,33368
0.75,798%,33364
0.75,799%,33784
0.75,799%,33364
0.75,798%,33360
0.75,799%,33224
0.75,799%,33360
0.75,799%,33352
0.75,798%,33440
0.76,799%,33432
0.75,798%,33304
