runtime,cpu_usage,memory
2.93,100%,1564
2.93,100%,1568
2.93,100%,1536
2.90,100%,1540
2.93,100%,1528
2.93,100%,1600
2.93,100%,1564
2.93,100%,1552
2.93,100%,1564
2.93,100%,1568
2.94,100%,1520
2.93,100%,1512
2.89,100%,1520
2.90,100%,1540
2.94,99%,1488
2.93,100%,1600
2.93,99%,1552
2.85,99%,1600
2.90,100%,1592
2.93,100%,1440
2.91,99%,1492
2.93,99%,1600
2.92,100%,1540
2.93,100%,1592
2.93,100%,1560
2.93,100%,1536
2.93,99%,1436
2.94,100%,1540
2.91,99%,1520
2.93,100%,1528
2.93,99%,1488
2.93,99%,1520
2.93,99%,1536
2.94,100%,1536
2.93,99%,1540
2.93,100%,1488
2.90,99%,1512
2.93,99%,1492
2.93,100%,1564
2.93,100%,1512
2.94,100%,1536
2.92,100%,1540
2.93,100%,1528
2.93,100%,1592
2.94,100%,1520
2.93,99%,1568
2.91,99%,1564
2.93,100%,1544
2.90,99%,1552
2.92,100%,1440
2.93,99%,1544
2.92,100%,1600
2.94,99%,1560
2.92,99%,1436
2.94,99%,1528
2.94,100%,1492
2.93,99%,1568
2.91,99%,1592
2.94,100%,1552
2.93,100%,1600
2.93,100%,1568
2.91,100%,1568
2.93,100%,1440
2.92,100%,1492
2.90,99%,1592
2.93,100%,1544
2.94,99%,1552
2.94,100%,1600
2.93,99%,1520
2.90,99%,1540
2.89,100%,1492
2.94,100%,1536
2.91,99%,1492
2.93,99%,1552
2.93,99%,1540
2.92,100%,1544
2.92,99%,1600
2.88,100%,1540
2.93,100%,1560
2.94,100%,1440
2.93,100%,1592
2.93,99%,1552
2.93,100%,1492
2.87,100%,1488
2.93,99%,1564
2.93,100%,1568
2.93,99%,1600
2.88,100%,1600
2.93,99%,1600
2.94,100%,1400
2.94,100%,1492
2.93,100%,1536
2.93,100%,1488
2.91,100%,1440
2.93,100%,1436
2.93,99%,1512
2.90,99%,1564
2.93,99%,1592
2.91,99%,1440
2.93,99%,1584
