runtime,cpu_usage,memory
0.41,232%,501372
0.37,251%,501496
0.36,252%,501244
0.37,253%,501240
0.37,251%,501368
0.37,251%,501244
0.36,251%,501496
0.37,252%,501372
0.36,252%,501368
0.36,252%,501240
0.36,249%,501372
0.37,248%,501112
0.36,248%,501192
0.36,252%,501496
0.36,249%,501368
0.35,250%,501496
0.36,250%,501368
0.36,251%,501240
0.37,249%,501244
0.37,248%,501112
0.37,251%,501368
0.36,253%,501500
0.36,247%,501240
0.36,253%,501368
0.36,251%,501152
0.36,248%,501368
0.37,251%,501368
0.37,251%,501244
0.37,250%,501240
0.37,250%,501368
0.37,251%,501372
0.37,251%,501112
0.37,249%,501368
0.37,250%,501480
0.37,251%,501240
0.37,250%,501240
0.37,251%,501368
0.37,250%,501240
0.37,249%,501240
0.36,250%,501244
0.37,249%,501240
0.37,248%,501368
0.37,250%,501240
0.36,251%,501240
0.36,250%,501240
0.37,250%,501112
0.36,250%,501368
0.37,252%,501496
0.37,247%,501452
0.37,249%,501240
0.37,248%,501368
0.37,250%,501368
0.37,245%,501496
0.37,252%,501244
0.37,245%,501628
0.37,251%,501116
0.37,249%,501368
0.36,250%,501240
0.36,251%,501372
0.36,253%,501244
0.37,250%,501244
0.37,247%,501372
0.37,251%,501372
0.37,249%,501500
0.36,249%,501240
0.36,252%,501372
0.36,252%,501240
0.36,253%,501368
0.36,249%,501240
0.36,254%,501240
0.37,249%,501500
0.36,251%,501368
0.36,246%,501116
0.37,253%,501372
0.37,251%,501500
0.36,251%,501372
0.36,248%,501240
0.36,251%,501372
0.36,251%,501368
0.37,250%,501452
0.37,250%,501244
0.37,251%,501368
0.37,249%,501240
0.37,252%,501368
0.37,251%,501812
0.36,253%,501240
0.37,249%,501240
0.37,250%,501304
0.37,251%,501244
0.37,251%,501372
0.37,251%,501280
0.37,250%,501240
0.37,250%,501244
0.39,295%,501372
0.40,302%,501496
0.41,300%,501368
0.41,300%,501372
0.41,300%,501112
0.41,300%,501372
0.38,270%,501244
