runtime,cpu_usage,memory
0.34,797%,2392
0.34,798%,2248
0.34,798%,2248
0.34,798%,2196
0.34,798%,2196
0.34,797%,2332
0.34,798%,2248
0.34,798%,2300
0.34,798%,2312
0.34,797%,2248
0.34,798%,2224
0.35,798%,2360
0.34,796%,2284
0.34,798%,2220
0.34,800%,2196
0.34,797%,2248
0.34,797%,2324
0.34,798%,2212
0.34,798%,2220
0.34,798%,2216
0.34,798%,2248
0.34,799%,2248
0.34,798%,2232
0.34,798%,2200
0.34,796%,2300
0.34,798%,2396
0.34,798%,2224
0.35,797%,2224
0.34,798%,2320
0.34,798%,2248
0.34,797%,2320
0.34,798%,2248
0.34,797%,2176
0.34,799%,2300
0.34,799%,2320
0.34,797%,2248
0.34,798%,2292
0.34,798%,2248
0.34,798%,2396
0.34,798%,2176
0.34,798%,2312
0.34,798%,2372
0.34,797%,2180
0.34,798%,2176
0.34,798%,2248
0.34,798%,2300
0.34,798%,2224
0.34,799%,2372
0.34,798%,2300
0.34,796%,2208
0.34,799%,2248
0.34,798%,2396
0.36,784%,2256
0.34,798%,2248
0.34,797%,2300
0.34,797%,2212
0.34,798%,2320
0.34,798%,2248
0.34,799%,2196
0.34,798%,2248
0.34,798%,2168
0.34,798%,2248
0.34,798%,2324
0.34,798%,2176
0.34,798%,2380
0.34,798%,2164
0.34,798%,2224
0.34,799%,2220
0.34,798%,2372
0.34,798%,2320
0.35,798%,2396
0.34,797%,2196
0.34,798%,2212
0.34,798%,2300
0.34,798%,2372
0.34,795%,2224
0.34,797%,2224
0.34,797%,2396
0.34,798%,2212
0.34,797%,2396
0.34,797%,2196
0.34,799%,2212
0.34,798%,2320
0.34,798%,2184
0.34,799%,2224
0.34,799%,2312
0.34,798%,2372
0.34,798%,2372
0.34,799%,2312
0.34,798%,2248
0.34,800%,2212
0.34,797%,2248
0.34,797%,2212
0.34,797%,2220
0.34,798%,2300
0.34,798%,2224
0.34,798%,2312
0.36,799%,2176
0.35,798%,2256
0.34,797%,2248
