runtime,cpu_usage,memory
6.03,315%,331952
6.03,303%,331892
6.03,303%,331864
6.03,303%,332016
6.03,303%,332028
6.02,304%,331928
6.12,338%,397484
6.02,303%,332112
6.03,303%,332020
6.02,303%,332060
6.03,303%,331868
6.03,303%,332024
6.13,338%,397436
6.05,303%,331948
6.03,303%,331688
6.04,303%,331924
6.04,304%,332056
6.04,304%,331988
6.04,303%,331900
6.05,303%,331968
6.04,304%,332044
6.04,304%,331796
6.05,315%,332048
6.04,303%,332008
6.04,304%,332028
6.05,303%,331892
6.14,338%,397580
6.04,304%,331880
6.06,303%,331956
6.04,304%,332064
6.04,303%,331960
6.04,303%,331988
6.04,303%,332064
6.05,309%,332104
6.04,303%,332060
6.04,303%,331920
6.06,303%,332116
6.04,303%,332064
6.04,304%,332144
6.09,304%,332048
6.04,303%,331876
6.05,303%,331852
6.04,303%,331784
6.04,304%,331976
6.13,338%,397380
6.13,338%,397556
6.06,303%,331928
6.04,303%,332028
6.05,315%,331984
6.05,303%,331884
6.04,303%,331856
6.13,338%,397532
6.05,303%,331924
6.04,315%,331844
6.04,304%,331880
6.05,303%,332080
6.13,338%,397312
6.04,304%,331984
6.04,303%,332012
6.05,315%,332124
6.04,304%,332112
6.04,304%,331888
6.04,303%,331976
6.06,303%,332104
6.04,303%,331960
6.05,303%,331984
6.04,303%,332088
6.05,309%,331844
6.04,303%,332108
6.04,304%,332096
6.04,303%,331932
6.06,303%,331988
6.06,303%,331952
6.04,303%,331936
6.05,304%,332044
6.04,304%,331888
6.06,303%,331820
6.04,304%,331908
6.05,303%,331812
6.04,304%,331896
6.04,303%,332064
6.14,338%,397584
6.04,304%,332136
6.06,303%,331896
6.04,304%,331996
6.04,303%,331848
6.04,304%,331864
6.05,315%,332112
6.04,303%,331900
6.05,315%,332132
6.04,303%,332132
6.05,303%,331780
6.04,303%,331948
6.04,304%,332020
6.04,304%,331892
6.04,303%,331900
6.05,303%,331888
6.05,309%,332192
6.04,303%,331980
6.04,304%,331996
