runtime,cpu_usage,memory
8.57,399%,5376
8.80,399%,5376
10.93,399%,5248
10.92,399%,5504
10.58,399%,5504
10.95,399%,5248
10.91,399%,5248
10.87,399%,5504
10.87,399%,5504
10.89,399%,5248
10.85,398%,5632
10.85,398%,5248
10.88,398%,5248
10.89,399%,5504
10.86,399%,5376
10.85,399%,5376
10.85,399%,5248
10.85,398%,5376
10.85,399%,5504
10.86,398%,4992
10.87,399%,5248
10.86,399%,5248
10.87,399%,5248
10.88,398%,5376
10.90,399%,5120
10.88,399%,5504
10.87,399%,5376
10.91,399%,5248
10.91,399%,5120
10.88,399%,5504
10.88,399%,5632
10.90,398%,5504
10.87,399%,5632
10.89,398%,5504
10.90,399%,5248
10.90,398%,5504
10.87,399%,5632
10.90,399%,5376
10.90,399%,4992
10.89,398%,5376
10.88,399%,5248
10.87,399%,5504
10.87,398%,5120
10.87,399%,5376
10.89,399%,5376
10.89,399%,5120
10.89,398%,5376
10.88,399%,5376
10.89,398%,5376
10.89,398%,5504
10.87,399%,5248
10.86,399%,5504
10.87,399%,5248
10.87,399%,5120
10.89,399%,5120
10.92,399%,5504
10.92,399%,5632
10.88,398%,5504
10.88,398%,5504
10.88,399%,5504
10.90,399%,5376
10.87,399%,5504
10.88,399%,5376
10.88,399%,5376
10.87,399%,5632
10.89,399%,5376
10.90,398%,5376
10.89,399%,5376
10.91,398%,5632
10.88,398%,5376
10.90,399%,5504
10.90,399%,5376
10.88,398%,5504
10.91,398%,5248
10.89,399%,5376
10.90,398%,5376
10.89,399%,5376
10.87,399%,5248
10.89,399%,5632
10.90,399%,5504
10.90,399%,5632
10.90,398%,5504
10.91,399%,5504
10.90,399%,5504
10.90,399%,5376
10.91,399%,5376
10.91,399%,5376
10.90,399%,5376
10.91,399%,5504
10.91,398%,5120
10.89,399%,5120
10.90,398%,5376
10.91,399%,5504
10.89,399%,5504
10.91,398%,5376
10.92,399%,5376
10.92,399%,5376
10.91,399%,5248
10.91,399%,5248
10.91,399%,5376
