runtime,cpu_usage,memory
4.69,359%,238948
4.59,357%,232828
4.66,362%,226772
4.62,353%,226884
4.56,354%,237408
4.68,359%,231320
4.73,357%,233260
4.70,359%,233152
4.63,358%,231212
4.69,356%,226948
4.69,353%,224828
4.67,357%,233180
4.62,355%,232836
4.74,363%,233028
4.67,353%,239428
4.64,353%,227040
4.51,358%,220616
4.71,352%,233208
4.72,359%,239068
4.64,362%,243464
4.66,361%,243420
4.55,356%,226592
4.61,359%,229048
4.67,359%,231284
4.57,354%,239340
4.58,354%,227080
4.59,353%,226848
4.70,355%,226804
4.71,355%,233284
4.71,362%,239496
4.56,354%,239472
4.55,354%,221088
4.75,363%,231588
4.70,355%,239408
4.70,362%,231236
4.73,354%,239228
4.56,354%,226768
4.72,360%,233336
4.59,358%,241528
4.67,361%,239380
4.71,358%,232916
4.69,356%,233264
4.72,359%,243344
4.57,358%,233264
4.72,358%,234880
4.56,353%,232900
4.68,353%,232816
4.54,355%,218648
4.67,358%,233320
4.65,356%,239404
4.71,362%,239440
4.73,352%,226956
4.74,354%,220772
4.60,357%,233300
4.60,360%,239288
4.71,360%,233184
4.72,362%,239336
4.62,354%,233196
4.75,362%,245540
4.68,361%,239204
4.71,360%,239340
4.73,362%,239452
4.66,359%,230752
4.79,361%,237432
4.77,354%,232920
4.73,357%,232888
4.58,354%,239396
4.60,356%,227216
4.61,353%,220792
4.59,358%,239424
4.66,358%,233316
4.74,362%,243588
4.73,353%,239164
4.69,353%,227276
4.61,358%,220872
4.59,355%,233204
4.74,362%,231436
4.76,357%,231420
4.72,359%,232984
4.50,359%,219004
4.71,352%,233272
4.72,359%,241492
4.67,362%,231212
4.62,353%,220992
4.60,356%,231344
4.69,358%,239372
4.79,354%,237400
4.68,360%,233132
4.56,353%,227080
4.53,356%,226820
4.70,358%,233044
4.69,362%,239564
4.71,353%,239428
4.60,355%,233116
4.63,357%,234980
4.70,356%,231328
4.60,358%,232908
4.76,356%,239480
4.61,358%,233324
4.71,352%,220920
