runtime,cpu_usage,memory
0.44,108%,7552
0.44,109%,7424
0.45,109%,7424
0.45,108%,7680
0.45,109%,7552
0.45,109%,7168
0.45,108%,7424
0.45,109%,7296
0.45,109%,7424
0.45,109%,7040
0.45,109%,7424
0.45,109%,7424
0.45,109%,7424
0.45,109%,7296
0.45,108%,7296
0.45,109%,7680
0.45,109%,7296
0.45,107%,7296
0.45,109%,7424
0.45,109%,7680
0.45,109%,7552
0.45,108%,7296
0.45,109%,7296
0.45,109%,7296
0.45,109%,7424
0.45,109%,7168
0.44,109%,7552
0.45,109%,7296
0.45,108%,7296
0.45,109%,7424
0.45,109%,7424
0.45,107%,7040
0.45,109%,7296
0.45,109%,7424
0.45,109%,7168
0.45,109%,7424
0.45,108%,7168
0.45,109%,7424
0.45,109%,7296
0.45,108%,7168
0.45,109%,7424
0.45,109%,7424
0.45,109%,7296
0.45,109%,7424
0.45,109%,7552
0.45,108%,7424
0.45,109%,7296
0.45,109%,7168
0.45,109%,7424
0.44,109%,7424
0.45,109%,7424
0.45,109%,7296
0.45,108%,7552
0.45,109%,7040
0.45,109%,7296
0.45,109%,7424
0.45,109%,7168
0.45,108%,7552
0.45,109%,7424
0.45,109%,7168
0.45,109%,7168
0.45,109%,7296
0.45,109%,7296
0.45,109%,7168
0.45,109%,7296
0.45,108%,7552
0.45,109%,7552
0.45,108%,7552
0.45,108%,7296
0.45,108%,7296
0.45,109%,7424
0.45,109%,7424
0.45,109%,7424
0.45,108%,7168
0.45,109%,7424
0.45,109%,7296
0.45,108%,7424
0.45,109%,7296
0.45,109%,7296
0.44,109%,7424
0.45,109%,7296
0.45,108%,7424
0.45,108%,7296
0.45,108%,7424
0.45,109%,7552
0.45,109%,7296
0.45,109%,7296
0.45,109%,7296
0.45,109%,7296
0.45,109%,7424
0.45,109%,7552
0.45,109%,7552
0.45,109%,7552
0.45,109%,7296
0.45,109%,7424
0.45,108%,7168
0.45,108%,7552
0.45,109%,7552
0.45,109%,7424
0.46,109%,7168
