runtime,cpu_usage,memory
2.47,134%,552152
2.47,134%,552284
2.47,134%,552028
2.47,134%,551964
2.47,134%,552152
2.47,134%,552028
2.47,134%,551900
2.47,134%,551900
2.47,134%,552024
2.48,134%,552028
2.49,134%,551900
3.87,122%,552156
3.39,131%,552028
2.48,134%,552156
2.48,134%,552028
4.79,139%,552100
2.48,134%,551896
2.48,134%,552156
4.77,140%,552024
2.48,134%,552084
2.51,133%,551900
4.69,141%,552156
2.47,134%,552028
2.57,133%,552228
4.66,140%,552028
2.48,134%,551896
2.59,132%,552024
4.63,141%,551964
2.48,134%,551896
2.64,132%,551772
4.59,141%,552024
2.48,134%,552100
2.68,131%,551772
4.55,141%,552108
2.48,134%,552152
2.73,131%,552232
4.51,142%,551900
2.48,134%,552284
2.78,130%,552224
4.45,143%,552152
2.48,134%,552232
2.84,130%,551900
4.40,143%,551900
2.48,134%,552284
2.91,129%,552024
4.33,143%,552280
2.49,134%,552156
2.97,128%,552152
4.27,144%,551896
2.49,134%,551892
2.50,134%,552412
3.92,121%,552024
3.37,128%,551900
2.50,134%,552096
4.04,121%,552280
3.24,128%,552156
2.50,133%,551900
2.71,131%,552028
4.53,141%,551896
2.50,134%,552152
2.80,130%,552156
4.45,142%,552152
2.49,134%,552284
2.89,129%,552024
4.36,143%,552024
2.50,134%,552088
2.99,128%,552156
4.26,144%,552028
2.50,134%,552156
2.51,134%,551772
3.98,121%,552152
3.31,128%,552088
2.51,134%,552228
2.72,131%,551772
4.54,141%,552280
2.50,134%,552024
2.85,130%,552028
4.39,143%,552152
2.50,134%,552160
2.99,128%,551772
4.26,144%,552280
2.50,134%,552036
2.51,134%,551772
4.01,121%,552352
3.29,127%,552104
2.51,134%,552152
2.74,131%,552028
4.52,142%,551976
2.51,134%,552028
2.87,129%,552280
4.39,143%,552156
2.50,134%,551896
2.98,128%,552104
4.28,144%,552152
2.51,134%,552028
4.86,138%,552020
2.50,134%,552360
3.92,122%,551900
3.40,130%,552024
2.50,134%,552220
