runtime,cpu_usage,memory
0.43,391%,44348
0.43,393%,44408
0.46,392%,44152
0.44,391%,44392
0.46,393%,44152
0.44,392%,44236
0.43,394%,44272
0.46,392%,44252
0.43,393%,44320
0.44,394%,44296
0.43,395%,44620
0.43,394%,44112
0.43,392%,44268
0.45,393%,44276
0.47,392%,44212
0.46,392%,44280
0.44,392%,44252
0.44,394%,44216
0.43,394%,44444
0.43,394%,44436
0.46,392%,44120
0.45,393%,44072
0.43,394%,44252
0.45,393%,44364
0.45,393%,44320
0.45,392%,44140
0.44,393%,44148
0.43,394%,44436
0.44,394%,44456
0.43,395%,44316
0.44,393%,44204
0.45,394%,44200
0.43,395%,44324
0.44,394%,44244
0.43,393%,44320
0.43,394%,44240
0.43,393%,44296
0.43,394%,44328
0.44,392%,44384
0.47,392%,44264
0.44,393%,44384
0.45,393%,44168
0.44,392%,44288
0.43,394%,44324
0.43,394%,44312
0.43,392%,44252
0.46,392%,44224
0.43,394%,44408
0.44,393%,44236
0.43,394%,44788
0.45,393%,44264
0.44,393%,44352
0.43,394%,44456
0.45,392%,44416
0.44,394%,44252
0.43,394%,44212
0.46,391%,44220
0.43,393%,44268
0.43,394%,44156
0.45,392%,44288
0.43,395%,44344
0.44,394%,44240
0.44,393%,44264
0.43,394%,44636
0.44,394%,44172
0.44,393%,44460
0.43,394%,44308
0.45,392%,44080
0.44,394%,44408
0.47,392%,44128
0.43,393%,44200
0.45,392%,44320
0.43,394%,44220
0.43,394%,44144
0.43,394%,44360
0.43,392%,44204
0.43,394%,44188
0.45,392%,44176
0.43,394%,44308
0.44,394%,44324
0.44,394%,44316
0.43,393%,44340
0.45,392%,44368
0.43,393%,44324
0.46,391%,44344
0.43,392%,44392
0.44,394%,44324
0.43,393%,44252
0.43,395%,44140
0.43,393%,44580
0.44,394%,44352
0.48,392%,44188
0.44,393%,44240
0.43,394%,44348
0.45,392%,44280
0.44,393%,44344
0.43,393%,44316
0.44,394%,44276
0.45,393%,44256
0.45,394%,44252
