runtime,cpu_usage,memory
18.29,318%,485752
18.41,317%,472992
18.51,320%,445676
18.50,315%,517028
18.43,315%,485292
18.54,317%,487744
18.41,319%,479348
18.80,316%,464824
18.23,317%,514000
18.51,319%,469264
18.20,317%,483784
18.52,316%,488632
18.19,319%,513848
18.39,317%,467644
18.48,320%,481032
18.79,320%,454648
18.40,318%,469416
18.47,318%,480220
18.40,316%,483884
18.30,317%,508056
18.31,316%,502300
18.63,319%,479636
18.66,319%,475760
18.63,318%,486064
18.38,318%,518628
18.32,318%,487048
18.36,318%,503176
18.72,318%,481652
22.12,331%,473780
18.64,313%,485376
18.90,316%,446208
18.67,317%,480756
18.70,318%,468808
18.31,318%,507732
18.80,320%,493908
18.55,317%,477140
18.27,319%,475128
18.65,317%,438832
18.81,320%,468656
18.80,320%,524620
18.53,319%,510392
18.85,319%,477520
18.26,316%,494500
18.35,319%,502880
18.42,316%,490824
18.43,315%,488928
18.43,316%,486564
18.80,316%,474440
18.65,315%,494888
18.46,317%,472160
18.72,317%,463936
18.48,318%,467900
18.49,316%,474284
18.76,317%,494424
18.55,318%,468780
18.70,318%,483184
18.55,317%,467240
18.39,317%,475796
18.54,315%,478452
18.26,318%,523504
18.37,315%,484048
18.39,317%,504220
18.57,316%,502524
18.42,312%,480984
18.24,317%,538020
18.29,318%,509068
18.79,320%,490608
18.61,315%,476952
18.56,315%,530908
18.80,317%,482500
18.97,319%,472204
18.77,316%,504824
18.62,318%,488072
18.59,319%,479424
18.62,318%,510724
18.77,317%,475904
18.71,317%,501084
18.46,313%,492256
18.48,317%,490824
18.58,316%,520920
21.91,332%,467716
18.71,317%,500644
18.33,315%,557448
18.86,315%,480456
18.25,315%,470244
18.64,318%,478196
18.20,317%,469640
18.59,318%,482012
18.73,316%,475072
18.44,319%,473264
18.64,317%,475100
18.63,316%,466720
18.61,317%,470292
18.49,317%,517108
18.56,315%,492188
18.49,319%,511288
21.84,329%,476108
18.58,317%,478116
18.63,317%,489460
18.92,319%,466436
