runtime,cpu_usage,memory
11.95,794%,7040
14.63,784%,6912
14.78,785%,7040
14.75,780%,6912
12.87,785%,6784
13.49,789%,6912
13.47,788%,6912
13.50,784%,7296
13.50,780%,7168
13.50,780%,6912
13.53,775%,7296
13.49,784%,7296
13.52,775%,6784
13.53,779%,7040
13.50,784%,7296
13.51,787%,6656
13.56,780%,6784
13.54,781%,7040
13.49,786%,7040
13.51,780%,7040
13.49,786%,7168
13.61,781%,7040
13.53,777%,6784
13.53,777%,7040
13.51,781%,7296
13.52,787%,7296
13.57,779%,7040
13.51,787%,7040
13.53,784%,7168
13.51,783%,7168
13.55,786%,6784
13.55,785%,7296
13.57,783%,7424
13.57,785%,6912
13.56,784%,7040
13.56,784%,6912
13.57,785%,6912
13.55,785%,6784
13.56,786%,7040
13.55,784%,7040
13.55,781%,6912
13.53,778%,7296
13.56,783%,7296
13.56,785%,7040
13.53,787%,7168
13.53,784%,6912
13.55,783%,7040
13.54,782%,7040
13.56,784%,7040
13.58,785%,7040
13.54,781%,6784
13.55,781%,7168
13.53,786%,7040
13.59,785%,7168
13.55,786%,7168
13.57,779%,7296
13.57,777%,7296
13.59,777%,7168
13.57,785%,7296
13.55,788%,7168
13.56,782%,6912
13.55,785%,7040
13.54,796%,7040
13.56,786%,7040
13.56,784%,7424
13.58,778%,7296
13.56,785%,6912
13.57,787%,7168
13.60,775%,7040
13.57,788%,6784
13.57,783%,7296
13.61,779%,7040
13.59,786%,7168
13.58,778%,6912
13.60,782%,7296
13.59,780%,7040
13.59,784%,7040
13.58,784%,7040
13.59,786%,7040
13.60,783%,7040
13.56,786%,7040
13.60,779%,7040
13.58,787%,7296
13.57,786%,7296
13.57,780%,6656
13.54,781%,7040
13.56,779%,7168
13.57,786%,7168
13.58,781%,7296
13.56,784%,7040
13.57,786%,7168
13.57,782%,7168
13.61,778%,6912
13.56,782%,7040
13.59,781%,7296
13.58,781%,7168
13.56,784%,7168
13.55,786%,6912
13.58,779%,6784
13.58,778%,7296
