runtime,cpu_usage,memory
3.86,100%,9048
3.86,100%,9032
3.87,100%,9004
3.85,99%,8824
3.87,99%,9096
3.86,100%,8832
3.85,100%,8908
3.86,100%,9000
3.86,100%,9072
3.86,100%,8908
3.86,99%,8868
3.86,100%,8916
3.86,100%,8924
3.87,100%,8904
3.88,99%,8892
3.86,100%,9020
3.86,99%,8988
3.86,100%,8916
3.86,100%,8892
3.86,100%,9028
3.85,100%,8964
3.86,100%,8912
3.85,100%,9000
3.89,100%,9000
3.87,99%,8908
3.85,100%,8988
3.85,100%,8904
3.87,100%,8888
3.86,100%,8880
3.87,100%,9108
3.87,100%,9024
3.86,100%,8936
3.86,100%,8940
3.86,100%,9032
3.86,100%,8956
3.85,100%,9036
3.87,100%,8896
3.87,100%,9100
3.87,100%,9004
3.86,99%,8856
3.86,100%,9020
3.86,100%,9088
3.86,100%,9044
3.86,100%,8908
3.85,100%,8992
3.86,100%,8984
3.86,100%,9004
3.86,100%,8868
3.87,100%,8868
3.88,99%,8888
3.86,100%,8992
3.87,100%,8884
3.87,100%,8832
3.86,100%,8800
3.86,100%,8976
3.86,100%,8952
3.87,100%,8832
3.87,100%,9120
3.86,100%,8800
3.85,100%,9040
3.86,100%,8896
3.86,100%,8992
3.87,100%,8924
3.85,100%,8876
3.86,99%,9028
3.88,100%,8868
3.89,100%,8900
3.86,100%,8872
3.86,100%,8884
3.87,100%,8952
3.85,100%,8988
3.86,100%,8924
3.87,99%,8812
3.87,100%,8992
3.86,100%,9072
3.87,100%,8924
3.86,100%,9048
3.87,100%,9100
3.86,100%,8900
3.86,100%,8968
3.86,100%,8984
3.86,100%,8936
3.87,100%,8908
3.86,100%,8988
3.86,100%,8892
3.85,100%,8976
3.86,100%,8960
3.86,99%,8936
3.86,100%,8960
3.86,100%,9100
3.86,100%,9096
3.85,100%,8976
3.86,100%,8920
3.85,99%,8980
3.87,100%,9024
3.86,100%,8868
3.85,100%,9028
3.88,100%,8892
3.85,100%,9056
3.87,100%,8992
