runtime,cpu_usage,memory
16.92,312%,220480
19.58,318%,220580
19.43,320%,220340
21.05,295%,221136
19.39,319%,220876
19.31,317%,220032
21.11,294%,220472
19.45,322%,220616
19.73,325%,220748
17.23,315%,220744
18.08,316%,220748
18.16,318%,220760
19.63,322%,221024
21.52,291%,220752
17.28,306%,220592
19.52,326%,220472
17.23,311%,219964
19.68,326%,220944
21.92,287%,220940
17.10,304%,219888
19.65,327%,220716
19.73,320%,219740
21.41,291%,221200
16.98,312%,220860
19.79,327%,220340
19.55,317%,220628
21.07,295%,220876
19.52,320%,220752
19.76,325%,221284
21.69,291%,221172
19.63,321%,220576
21.12,296%,221076
20.62,297%,219664
20.00,308%,220992
19.61,322%,220220
21.68,293%,220956
16.80,313%,221128
19.97,319%,220400
21.44,291%,220792
19.34,325%,221044
19.50,323%,220324
21.37,292%,220860
21.11,295%,221396
19.76,310%,221100
21.82,280%,220488
19.14,323%,220444
19.42,321%,220048
21.67,289%,220548
17.21,311%,220448
19.56,327%,221320
21.81,289%,221188
19.27,325%,220260
21.62,293%,220960
19.44,326%,221180
21.74,292%,221300
19.91,318%,220860
21.07,295%,221328
17.35,307%,220840
19.65,326%,221040
21.43,292%,221228
20.89,297%,219912
20.13,312%,220384
17.14,309%,220228
17.59,310%,220700
20.05,319%,220364
21.46,295%,220700
19.58,322%,220336
21.67,289%,221032
19.33,324%,220552
21.56,291%,221140
19.80,321%,220504
21.44,292%,221252
21.74,285%,220784
19.23,320%,220940
19.60,322%,219860
19.26,325%,220740
21.81,291%,221048
16.99,313%,221172
17.52,312%,220372
19.57,324%,220988
21.44,292%,220924
19.44,320%,220508
21.72,290%,221272
16.78,311%,220512
19.97,319%,220588
21.00,296%,221192
21.21,287%,221072
19.83,317%,220868
16.97,314%,220984
20.44,311%,220984
20.45,304%,221124
19.70,321%,220176
21.70,288%,221040
19.71,322%,221120
21.45,292%,220796
17.36,307%,220412
19.65,325%,220828
21.65,287%,221536
19.48,322%,220764
21.72,293%,221088
