runtime,cpu_usage,memory
2.32,100%,15612
2.31,100%,15608
2.33,100%,15732
2.31,100%,15540
2.32,100%,15720
2.29,100%,15492
2.28,100%,15680
2.33,100%,15624
2.28,100%,15652
2.32,100%,15548
2.29,100%,15744
2.32,100%,15728
2.27,100%,15604
2.29,100%,15776
2.29,100%,15692
2.35,100%,15636
2.30,100%,15848
2.30,100%,15880
2.28,100%,15488
2.29,100%,15768
2.33,101%,15592
2.33,100%,15784
2.30,100%,15528
2.32,100%,15496
2.29,100%,15704
2.31,100%,15700
2.32,100%,15876
2.32,100%,15644
2.31,100%,15424
2.27,100%,15664
2.34,100%,15600
2.27,100%,15604
2.33,100%,15704
2.32,100%,15860
2.29,100%,15264
2.33,100%,15552
2.29,100%,15708
2.32,100%,15624
2.30,100%,15620
2.29,100%,15700
2.30,100%,15600
2.27,100%,15420
2.31,100%,15484
2.30,100%,15424
2.30,100%,15380
2.29,100%,15472
2.33,100%,15688
2.33,100%,15612
2.34,100%,15800
2.30,100%,15508
2.32,100%,15696
2.30,100%,15780
2.28,100%,15616
2.32,100%,15756
2.29,100%,15752
2.28,100%,15636
2.27,100%,15488
2.29,100%,15700
2.29,100%,15632
2.30,100%,15664
2.31,100%,15492
2.28,100%,15412
2.28,100%,15680
2.29,100%,15644
2.30,100%,15728
2.29,100%,15592
2.30,100%,15744
2.31,100%,15564
2.30,101%,15440
2.29,100%,15580
2.29,100%,15772
2.29,100%,15628
2.30,100%,15648
2.28,100%,15548
2.31,100%,15512
2.30,100%,15700
2.29,100%,15776
2.30,100%,15412
2.29,100%,15732
2.30,100%,15764
2.29,100%,15580
2.28,100%,15688
2.35,100%,15644
2.31,100%,15612
2.31,100%,15484
2.30,100%,15652
2.28,100%,15412
2.30,100%,15544
2.28,100%,15700
2.29,100%,15660
2.33,100%,15524
2.29,100%,15512
2.30,100%,15580
2.36,100%,15876
2.32,100%,15552
2.31,100%,15580
2.27,100%,15704
2.31,100%,15732
2.27,100%,15628
2.31,100%,15836
