runtime,cpu_usage,memory
55.22,781%,38900
57.34,781%,38788
57.71,781%,39212
57.70,785%,39056
57.95,782%,38800
57.17,784%,40096
57.55,779%,39272
58.05,780%,38832
58.22,776%,39400
57.42,778%,39636
57.98,779%,39160
58.31,782%,38928
57.50,784%,39188
57.86,783%,39328
57.50,781%,39728
57.65,783%,39572
57.86,782%,39400
57.63,783%,38900
57.89,780%,39752
57.58,780%,39560
57.92,777%,39648
57.71,783%,39056
57.62,782%,39180
57.64,783%,39456
57.75,780%,39316
57.94,780%,39676
57.64,782%,39344
57.82,780%,38796
57.35,780%,39076
58.86,780%,39408
57.95,780%,39384
58.37,776%,39148
58.49,776%,39644
57.82,786%,39372
57.89,782%,39144
57.48,783%,39296
58.40,778%,39256
57.82,776%,39068
57.89,777%,39712
57.75,782%,39492
57.69,785%,39352
58.46,767%,39092
57.76,782%,38684
57.50,782%,39516
58.37,776%,39908
58.15,777%,39712
57.81,781%,39220
57.74,782%,40008
57.75,783%,39112
58.49,767%,39028
58.29,781%,39468
57.91,775%,39240
57.54,782%,39672
58.40,773%,39228
57.94,782%,38976
58.03,785%,39396
57.83,780%,38724
58.15,781%,39040
57.35,782%,38516
58.01,782%,39420
57.96,782%,39596
58.00,784%,38896
58.15,779%,39312
58.01,781%,39024
57.62,780%,38912
60.61,772%,39228
58.19,780%,39340
57.56,781%,38608
57.83,781%,39908
57.87,780%,39220
57.98,783%,39844
57.57,785%,39120
57.65,782%,39396
58.19,773%,39240
57.98,775%,38840
57.94,779%,39772
57.93,785%,39032
58.10,784%,39040
58.74,769%,38848
57.63,782%,39796
57.88,783%,39084
57.98,783%,39288
58.44,781%,39416
57.49,781%,39216
58.03,783%,39984
58.26,782%,39524
57.61,782%,39212
57.92,785%,39396
57.89,780%,39828
57.81,780%,38944
58.19,781%,39524
57.61,782%,40100
57.94,782%,39012
57.66,783%,39828
57.74,782%,39540
58.37,785%,39352
57.91,782%,39008
57.53,782%,39816
57.20,783%,39536
58.30,772%,39744
