runtime,cpu_usage,memory
15.19,113%,58568
15.16,111%,58788
15.17,110%,59392
15.16,111%,59216
15.16,113%,58188
15.28,123%,59012
17.22,111%,58256
15.18,113%,59564
15.21,111%,59932
16.99,113%,58952
15.22,111%,60768
16.17,113%,58948
15.17,113%,58456
15.46,111%,58236
17.65,112%,61244
15.18,113%,60568
15.78,112%,59352
15.84,111%,59976
15.34,110%,57620
15.19,111%,60656
15.17,113%,58500
15.17,111%,61860
16.02,111%,59748
15.17,112%,61160
15.40,123%,58416
15.28,113%,62424
16.78,112%,58616
15.17,111%,58996
15.19,122%,59176
15.17,111%,59176
17.32,113%,58744
15.41,113%,59300
15.19,111%,60616
15.20,111%,60020
15.42,113%,60308
15.17,111%,59828
15.24,111%,61468
15.18,111%,58300
15.20,112%,60156
15.23,122%,58852
15.20,111%,60556
15.17,113%,59004
15.41,113%,58924
15.48,111%,60200
15.20,113%,62376
15.71,111%,58192
15.62,113%,62300
15.21,113%,59380
15.20,111%,60928
15.22,110%,59216
15.34,113%,59532
15.20,113%,59396
15.20,111%,59896
15.21,113%,58840
15.19,123%,59332
15.18,110%,58556
15.23,113%,60852
15.21,113%,58512
15.37,111%,60568
15.18,111%,59324
15.26,113%,60672
15.18,111%,58732
15.43,111%,61344
15.18,119%,58964
15.15,111%,59604
15.19,123%,58876
15.44,111%,60572
15.22,110%,57968
15.21,116%,59348
15.18,112%,58864
15.16,111%,60460
15.19,110%,58516
15.19,111%,61492
15.15,124%,59076
15.19,111%,58172
15.43,111%,58564
15.21,113%,60264
15.22,112%,59168
15.17,111%,58668
15.08,111%,58824
15.19,113%,59248
15.20,111%,59560
15.18,111%,58468
15.29,111%,59952
15.17,113%,59976
15.22,112%,58032
15.18,123%,58412
15.22,113%,58816
15.34,113%,58916
15.14,111%,58376
15.34,113%,58768
15.18,111%,57728
15.17,113%,60000
17.26,122%,59172
15.20,113%,61168
15.24,110%,59692
15.35,119%,60912
15.22,115%,59156
15.41,122%,60416
15.19,113%,58736
