runtime,cpu_usage,memory
63.17,483%,871756
64.78,467%,887488
66.11,506%,848856
66.32,463%,881328
65.88,476%,852840
69.45,441%,903260
66.25,512%,903260
62.35,487%,895576
68.74,451%,905716
66.92,509%,895600
68.42,460%,902392
67.24,465%,887932
64.69,511%,888428
65.74,481%,888148
63.55,471%,869080
69.65,462%,895688
69.25,485%,887756
62.24,470%,889244
67.00,475%,872584
70.47,471%,887432
68.71,500%,895200
71.18,462%,887976
69.87,453%,903108
65.59,525%,891136
68.64,501%,902984
68.44,511%,896404
68.93,474%,892548
62.66,470%,903492
65.53,477%,904108
72.50,486%,897252
62.06,477%,887536
68.54,494%,841700
67.52,468%,860260
66.43,479%,888400
64.41,469%,887028
67.64,475%,858624
66.96,502%,897180
66.68,460%,895940
69.71,451%,903352
70.15,465%,903092
70.77,494%,888000
68.10,496%,893904
63.18,468%,896376
61.66,500%,895896
70.29,468%,897344
65.62,476%,899016
67.32,473%,894956
62.48,467%,896516
61.05,476%,888492
71.00,472%,869584
62.58,472%,893588
65.23,458%,888728
69.73,457%,837412
66.05,481%,905232
69.53,451%,897364
64.25,482%,894468
63.76,480%,895380
65.07,459%,839556
69.76,457%,838048
65.85,479%,887960
68.31,506%,903164
66.83,473%,845152
65.09,463%,894736
65.87,517%,892952
67.64,498%,897924
70.59,445%,888420
66.57,488%,876828
68.89,454%,889552
69.69,463%,887272
67.49,476%,892952
70.05,481%,845080
66.52,488%,850984
70.22,453%,903392
69.58,441%,887516
62.01,477%,887068
66.17,505%,841908
71.36,450%,837772
63.63,517%,896612
65.58,464%,889156
69.94,460%,881792
66.12,520%,902872
68.58,447%,854188
70.20,481%,895700
71.51,446%,887944
67.20,488%,861476
64.07,484%,888252
67.61,484%,860756
64.36,523%,853056
65.39,478%,887240
64.05,502%,896052
66.48,484%,903572
65.37,511%,895388
68.24,475%,850220
64.07,450%,903264
66.57,450%,887500
69.29,447%,883660
66.55,506%,887116
71.30,476%,903120
68.67,483%,882552
68.98,458%,896288
