runtime,cpu_usage,memory
79.07,100%,60336
79.11,100%,60256
79.05,100%,60836
79.10,100%,60688
78.84,100%,60100
79.22,100%,61756
78.88,100%,64008
79.00,100%,60000
78.81,100%,62276
79.91,100%,60668
80.23,100%,60660
79.06,100%,61156
79.07,100%,63356
79.13,100%,59684
79.32,100%,62360
79.06,100%,63016
78.80,100%,59472
79.11,100%,60588
78.83,100%,60728
80.07,100%,62896
78.86,100%,61776
79.69,100%,63468
79.16,100%,62036
78.80,100%,60224
78.97,100%,59896
79.20,100%,64392
79.11,100%,61900
79.18,100%,62536
80.73,100%,59544
79.14,100%,59988
78.97,100%,63376
78.88,100%,62988
79.17,100%,59168
79.07,100%,61892
79.14,100%,60636
79.00,100%,60608
78.93,100%,61848
78.86,100%,63080
79.16,100%,62792
79.21,100%,61728
79.25,100%,61948
78.95,100%,62216
79.01,100%,61332
79.04,100%,62860
78.84,100%,62840
79.09,100%,62268
79.21,100%,62268
78.86,100%,62264
78.85,100%,63116
78.88,100%,60800
79.08,100%,61592
78.86,100%,61840
80.04,100%,62112
78.86,100%,62684
79.93,100%,63288
79.24,100%,60236
79.95,100%,59748
79.07,100%,61272
79.08,100%,61824
79.87,100%,63008
79.06,100%,58012
78.93,100%,61648
79.11,100%,63576
78.84,100%,62168
79.10,100%,59828
79.03,100%,61576
79.10,100%,59728
80.30,100%,61456
79.00,100%,63556
79.32,100%,60248
78.87,100%,63624
79.20,100%,61692
79.13,100%,62092
80.23,100%,60948
79.16,100%,61456
79.12,100%,62068
78.96,100%,59080
79.16,100%,60188
78.91,100%,63168
79.20,100%,62092
79.15,100%,62232
80.62,100%,59088
79.06,100%,61164
78.94,100%,62236
79.06,100%,60912
79.09,100%,61360
78.83,100%,61684
79.19,100%,63696
78.88,100%,62760
79.11,100%,62416
78.87,100%,62776
78.95,100%,59400
79.19,100%,63168
78.89,100%,64488
79.05,100%,63920
80.96,100%,62352
80.00,100%,62360
79.12,100%,60804
79.02,100%,60908
78.82,100%,62068
