runtime,cpu_usage,memory
2.50,196%,80164
2.41,220%,75988
2.63,199%,76884
2.48,217%,76024
2.49,214%,78576
2.61,219%,75132
2.57,220%,76248
2.37,211%,76988
2.32,227%,74800
2.56,207%,73836
2.40,222%,76708
2.40,223%,76044
2.44,219%,75808
2.60,206%,76036
2.37,222%,76976
2.50,217%,76304
2.57,220%,76104
3.16,179%,74788
2.51,211%,78952
2.55,220%,75752
2.60,188%,74848
2.44,193%,77736
2.58,216%,76204
2.51,214%,77560
2.68,204%,76436
2.62,211%,75540
2.37,222%,76160
2.51,198%,75716
2.45,218%,76888
2.50,217%,78056
2.38,205%,75368
2.44,222%,76896
2.57,218%,77044
2.59,216%,76796
2.59,216%,78516
2.51,224%,76140
2.63,220%,75528
2.44,223%,77940
2.52,222%,76536
2.51,219%,75816
2.38,218%,75696
2.43,220%,77344
2.40,218%,76320
2.41,219%,77588
2.35,225%,74412
2.47,217%,77188
2.55,220%,76468
2.41,219%,77176
2.64,189%,74600
2.45,218%,78096
2.61,190%,74924
2.64,188%,74040
2.52,191%,75084
2.53,181%,81556
2.45,190%,75000
2.63,210%,75488
2.67,190%,74720
2.47,226%,76156
2.48,224%,75988
2.49,217%,76432
2.41,220%,75828
2.43,217%,76052
2.65,218%,77208
2.32,224%,75844
2.88,179%,76244
2.49,219%,76592
2.73,188%,73712
2.61,216%,77100
2.52,188%,75436
2.63,205%,75224
2.52,193%,77768
2.62,207%,74884
2.45,214%,76792
2.31,200%,76476
2.44,220%,75716
2.38,219%,76256
2.54,211%,73336
2.61,195%,80300
2.45,223%,76236
2.48,224%,76500
2.44,220%,75572
2.51,217%,75084
2.46,219%,76268
2.52,215%,76756
2.54,213%,77568
2.49,203%,77260
2.42,227%,76040
2.55,214%,75236
2.39,217%,76456
2.43,222%,77180
2.65,189%,77552
2.53,201%,74664
2.46,217%,76100
2.50,224%,75920
2.41,221%,77056
2.58,214%,76328
2.43,218%,76452
2.48,219%,75772
2.49,218%,76768
2.47,223%,76304
