runtime,cpu_usage,memory
19.83,374%,3087680
21.32,381%,2911812
21.53,375%,3054960
21.12,381%,3004372
21.10,376%,3007372
21.39,379%,2955788
21.06,383%,2777244
21.17,384%,2978628
20.88,384%,2900720
21.24,381%,2984436
21.10,383%,2621376
20.90,384%,3193108
21.40,376%,3059664
21.10,381%,3061840
21.35,378%,2888904
21.28,380%,3027008
21.36,384%,3154576
21.36,378%,2916704
20.97,383%,3144212
21.18,380%,2588304
21.05,383%,2946124
21.26,381%,2889924
21.31,381%,3297880
21.12,381%,3321728
21.37,380%,2934884
21.28,374%,3023592
21.29,384%,3084164
21.05,381%,3011964
21.63,378%,3186700
21.19,383%,3439576
21.20,378%,3177640
21.63,385%,2898540
21.11,384%,2526224
21.05,381%,3024060
21.39,380%,3344580
24.54,379%,2957368
20.59,382%,2644524
21.17,378%,3109956
21.39,384%,2568696
21.46,379%,2974652
21.53,378%,3258944
21.00,385%,2518144
21.17,377%,2985304
21.59,377%,3065076
21.08,378%,2802924
21.23,388%,2973420
21.06,388%,2520288
25.26,360%,2932328
20.65,377%,3326560
24.69,377%,2892584
20.92,372%,2987652
21.26,383%,2967208
21.34,381%,3306192
22.65,395%,2585564
21.34,377%,3039532
22.64,388%,2362112
21.20,384%,2685308
21.07,382%,2629660
24.91,382%,2988332
21.06,370%,3072888
21.12,381%,3005528
24.80,384%,2914680
20.70,383%,3205172
21.47,378%,2754220
21.45,378%,3197268
21.26,379%,3027848
21.97,370%,3282136
21.12,381%,3011920
21.14,376%,2933896
24.42,388%,2541308
21.33,376%,2928476
21.22,375%,2995608
21.10,388%,2973296
21.02,385%,2969992
20.88,387%,2638000
21.13,384%,2965660
21.48,378%,2999184
21.34,383%,3118288
21.25,383%,3000632
21.23,382%,2979308
24.64,373%,3003572
24.77,354%,3004992
24.71,351%,2542980
24.64,352%,2985160
20.72,381%,2497712
21.38,384%,2981652
24.69,383%,3016380
20.74,377%,3047128
21.70,377%,2943180
23.03,391%,3275616
21.21,379%,2863636
21.40,375%,2972824
21.24,380%,3357556
21.47,377%,2943952
21.33,378%,2875600
21.39,377%,2776464
23.09,389%,3077136
21.23,384%,2620656
21.74,377%,3041380
21.23,375%,2984840
