runtime,cpu_usage,memory
7.41,779%,55860
10.68,775%,56460
9.94,773%,57492
10.03,779%,59084
9.91,782%,55940
10.44,782%,58420
10.16,780%,56248
10.06,780%,55832
10.05,779%,54552
10.02,779%,55344
10.23,779%,57340
10.10,779%,56968
10.22,778%,55052
10.17,778%,59768
10.08,778%,54200
10.69,719%,52252
10.21,778%,53824
10.08,780%,57176
10.21,778%,57684
10.09,778%,57468
10.04,781%,56716
10.18,779%,54276
10.06,777%,55496
10.04,779%,54288
10.16,781%,54816
10.22,778%,55996
10.18,778%,60176
10.20,778%,54384
10.02,780%,54716
10.20,779%,53740
10.09,780%,54064
10.22,780%,54576
10.07,780%,55456
10.19,780%,56352
10.19,781%,56564
10.08,780%,53416
10.20,780%,56372
10.20,779%,55316
10.04,779%,56400
10.07,778%,56376
10.05,779%,55924
10.04,779%,54908
10.22,777%,52472
10.25,778%,58568
10.08,781%,56204
10.05,780%,58404
10.08,780%,58764
10.22,780%,52252
10.12,779%,57588
10.21,778%,53704
10.19,779%,57340
10.10,776%,58720
10.07,779%,58040
10.23,779%,57436
10.18,780%,56460
10.17,780%,54896
10.21,779%,56616
10.20,781%,57184
10.06,781%,55892
10.03,780%,55884
10.17,779%,56588
10.05,778%,56184
10.17,776%,55432
10.05,781%,54212
10.08,780%,56848
10.19,780%,55128
10.05,779%,56520
10.06,778%,57712
10.21,779%,56148
10.23,778%,57252
10.05,778%,54880
10.21,777%,58560
10.05,780%,55768
10.24,777%,58928
10.09,780%,56180
10.12,778%,54548
10.24,778%,54700
10.21,778%,57240
10.13,779%,58508
10.23,778%,56004
10.08,779%,56604
10.20,779%,53780
10.19,780%,55460
10.09,778%,54236
10.23,779%,55508
10.08,780%,53368
10.08,779%,56980
10.20,778%,58996
10.07,775%,56220
10.06,779%,59648
10.06,780%,57620
10.10,780%,54344
10.21,780%,57208
10.24,775%,54828
10.20,777%,57224
10.05,779%,55036
10.21,779%,55904
10.25,778%,57452
10.12,779%,55744
10.09,780%,55876
