runtime,cpu_usage,memory
23.74,189%,2542972
23.74,189%,2504364
23.78,189%,2566224
23.81,189%,2536172
23.64,190%,2646620
23.77,188%,2358024
23.75,189%,2528620
23.77,189%,2590052
23.80,188%,2512268
23.90,188%,2400512
23.80,189%,2588528
23.94,188%,2563956
23.80,189%,2441256
23.88,187%,2401088
23.82,187%,2486436
23.65,188%,2361924
23.74,188%,2390944
23.68,189%,2459376
23.96,187%,2384896
23.85,188%,2558416
23.67,189%,2528596
23.79,188%,2496268
23.90,188%,2526604
23.71,189%,2512056
23.81,189%,2496348
23.69,189%,2518852
23.77,189%,2566240
23.80,188%,2412088
23.75,189%,2556840
23.72,188%,2374440
23.87,188%,2612940
23.72,189%,2487952
23.62,189%,2436148
23.67,189%,2479424
23.76,188%,2453704
23.82,189%,2437792
23.80,189%,2514564
23.97,187%,2565604
23.71,189%,2690304
23.74,189%,2470260
23.75,188%,2567936
23.95,187%,2581716
23.72,189%,2554560
23.92,187%,2461508
23.76,188%,2357612
23.58,189%,2461456
23.89,188%,2451516
23.57,189%,2393928
23.63,188%,2511100
23.80,189%,2469892
23.86,187%,2467556
23.92,188%,2507960
23.82,188%,2460356
23.73,188%,2486768
23.76,188%,2543856
23.93,189%,2563028
23.74,188%,2502020
23.75,189%,2509268
23.88,188%,2587388
23.74,188%,2195984
23.78,189%,2580904
23.89,188%,2343452
23.83,188%,2515740
23.87,188%,2446948
23.66,188%,2281584
23.79,189%,2560696
23.78,188%,2358008
23.76,189%,2575104
23.88,188%,2511436
23.71,188%,2331764
23.85,188%,2586732
23.71,188%,2328704
23.84,187%,2337016
23.82,188%,2543716
23.54,190%,2492144
23.74,189%,2482076
23.76,189%,2651720
23.78,188%,2564840
23.90,188%,2484104
23.86,188%,2526032
23.88,188%,2486452
23.76,189%,2625648
23.54,189%,2358636
23.75,189%,2663148
23.77,189%,2469548
23.78,188%,2396588
23.77,188%,2415148
23.77,189%,2273464
23.86,188%,2530124
23.83,188%,2497844
23.76,188%,2588296
23.80,188%,2567436
23.94,187%,2399104
23.92,187%,2404724
23.80,188%,2452984
23.90,188%,2611504
23.52,189%,2369408
23.84,188%,2581648
23.85,189%,2466420
23.80,189%,2568136
