runtime,cpu_usage,memory
19.99,771%,30988
19.98,771%,30968
19.95,772%,31252
20.00,769%,30844
19.91,773%,31176
19.98,771%,31036
20.03,769%,31040
19.94,772%,30992
19.98,772%,30712
20.00,770%,30924
20.00,771%,30864
19.93,773%,31260
20.01,769%,31252
19.91,774%,30992
19.99,769%,30852
19.97,772%,31052
19.95,773%,30988
19.96,770%,31044
19.98,769%,30744
19.96,770%,31108
19.96,771%,30844
20.01,770%,30928
19.97,771%,30996
19.89,774%,30984
20.03,770%,31108
19.98,772%,30836
19.97,772%,31108
19.88,775%,30804
19.98,772%,30932
19.91,773%,31136
19.97,770%,31036
19.99,771%,30936
19.95,771%,30692
20.02,770%,31088
19.99,770%,31004
19.93,772%,30980
19.95,772%,30996
19.99,770%,31112
19.89,776%,30964
20.01,769%,30924
19.97,770%,31060
19.89,774%,31068
19.96,771%,31068
20.00,770%,31168
19.88,773%,30856
20.01,770%,30736
20.01,771%,30864
20.01,768%,30996
19.97,771%,30980
19.99,772%,30992
19.93,773%,30912
19.92,774%,31304
19.93,773%,30824
20.02,771%,30856
20.00,770%,30576
20.01,770%,30792
19.99,769%,30848
19.98,772%,30940
19.99,770%,31060
19.91,774%,31036
19.89,773%,31192
19.94,773%,30724
19.96,773%,30924
20.02,768%,31100
19.98,770%,30616
19.96,773%,30932
19.90,774%,30844
19.99,771%,31000
19.95,772%,30732
19.97,771%,31056
19.96,771%,30916
19.91,774%,31048
19.93,773%,30860
20.00,770%,30980
20.01,769%,31052
19.97,773%,30892
19.96,772%,30964
19.94,772%,31168
19.99,770%,31056
20.01,770%,30792
19.92,773%,30788
19.98,770%,30828
19.90,774%,31068
19.93,772%,31380
19.93,772%,30804
19.92,773%,31252
19.99,770%,30924
19.94,772%,30928
19.96,773%,30824
19.97,770%,30844
20.04,770%,30976
19.97,773%,31100
20.05,769%,31052
19.99,770%,30912
20.00,770%,30800
19.93,774%,30820
19.96,772%,31056
19.97,772%,31044
19.99,770%,31128
19.99,771%,31036
