runtime,cpu_usage,memory
4.82,554%,187920
4.78,561%,187912
4.78,561%,188012
4.77,561%,188112
4.82,559%,188612
5.24,633%,188616
4.78,558%,187836
4.83,558%,187824
4.77,560%,187860
4.84,555%,188612
4.79,559%,188032
4.78,561%,188292
4.83,553%,188256
4.78,559%,188476
4.74,562%,188460
4.77,562%,188388
4.79,557%,188200
4.79,559%,187856
4.82,557%,188312
4.80,560%,187816
4.82,558%,188168
4.81,557%,188144
4.76,564%,188084
4.83,555%,188048
4.82,556%,187868
4.78,558%,188096
4.75,562%,187964
4.78,555%,188264
4.76,560%,188412
4.76,560%,188080
4.79,562%,187916
4.83,560%,188340
4.81,554%,188184
4.83,558%,188396
4.78,562%,187952
4.82,563%,187620
4.89,556%,188740
4.83,559%,188608
4.76,563%,188168
4.86,558%,188436
4.81,563%,188320
4.82,557%,188252
4.83,560%,188168
4.75,560%,188052
4.81,558%,188092
4.76,558%,188196
4.78,560%,187828
4.79,562%,188020
4.82,560%,188572
4.74,567%,188440
4.82,557%,188020
4.76,560%,188260
4.87,558%,187820
4.82,563%,188252
4.74,562%,188100
4.75,567%,187984
4.82,555%,187724
4.80,564%,188328
4.86,553%,187992
4.89,549%,187764
4.81,560%,188468
4.80,557%,187908
4.81,558%,188192
4.79,558%,187980
4.82,558%,188276
4.70,568%,188272
4.83,554%,187828
4.77,568%,188068
4.73,562%,188108
4.81,558%,188152
4.78,566%,188168
4.80,562%,188508
4.76,559%,188120
4.79,561%,188420
4.86,565%,188016
4.80,560%,187916
4.84,556%,188344
4.77,559%,188284
4.81,558%,188044
4.80,559%,188060
4.78,564%,187976
4.84,558%,188312
4.86,554%,188568
4.82,556%,188396
4.81,560%,187888
4.75,562%,188188
4.82,559%,187944
4.81,558%,187828
4.80,556%,188344
4.82,554%,188064
4.80,560%,188192
4.95,555%,187864
4.81,562%,188436
4.79,561%,188084
4.79,560%,187712
4.85,555%,188120
4.76,562%,188228
4.80,556%,187872
4.86,554%,188496
4.78,559%,187688
