runtime,cpu_usage,memory
24.58,99%,31820
24.62,99%,31876
24.61,99%,31792
24.67,99%,31608
24.59,99%,32008
24.68,99%,31560
24.62,99%,31784
24.62,99%,31864
24.64,99%,31780
24.67,99%,31804
24.70,99%,31596
24.64,99%,31952
24.60,99%,31972
24.76,99%,31752
24.66,99%,31880
24.66,99%,31932
24.73,99%,31816
24.65,99%,31872
24.59,99%,31824
24.66,99%,31952
24.64,99%,31632
24.65,99%,31760
24.62,99%,31804
24.62,99%,31760
24.73,99%,31864
24.69,99%,31868
24.57,99%,31860
24.64,99%,31932
24.66,99%,31932
24.57,99%,31760
24.69,99%,31912
24.60,99%,31872
24.71,99%,31860
24.67,99%,31812
24.67,99%,31820
24.67,99%,31964
24.70,99%,31848
24.66,99%,31868
24.65,99%,31856
24.63,99%,31864
24.62,99%,31924
24.64,99%,31868
24.80,99%,31904
24.65,99%,31788
24.70,99%,31868
24.65,99%,31808
24.61,99%,31868
24.59,99%,31664
24.71,99%,31860
24.64,99%,31912
24.67,99%,31812
24.72,99%,31912
24.62,99%,31804
24.66,99%,31704
24.69,99%,31936
24.71,99%,31796
24.65,99%,31952
24.57,99%,31940
24.68,99%,31812
24.64,99%,31864
24.67,99%,31812
24.69,99%,31972
24.78,99%,31804
24.65,99%,31868
24.66,99%,31820
24.66,99%,31556
24.82,99%,31856
24.58,99%,31868
24.69,99%,31816
24.63,99%,31880
24.68,99%,31788
24.77,99%,31864
24.70,99%,31624
24.66,99%,31872
24.63,99%,31712
24.79,99%,31804
24.79,99%,31856
24.62,99%,31948
24.65,99%,32064
24.69,99%,31916
24.63,99%,31804
24.65,99%,31824
24.65,99%,31760
24.62,99%,31864
24.79,99%,31808
24.67,99%,31736
24.63,99%,31844
24.60,99%,31820
24.66,99%,31552
24.69,99%,31876
24.64,99%,31816
24.62,99%,31476
24.64,99%,31448
24.64,99%,31984
24.64,99%,31552
24.68,99%,31936
24.63,99%,31740
24.67,99%,31932
24.63,99%,31880
24.64,99%,31728
