runtime,cpu_usage,memory
0.67,96%,31056
0.70,96%,31020
0.68,95%,30712
0.70,96%,31080
0.71,94%,31108
0.71,96%,31012
0.73,93%,31084
0.70,95%,30756
0.67,97%,30920
0.71,95%,31072
0.69,94%,30932
0.77,93%,31028
0.69,96%,31076
0.68,94%,30968
0.70,95%,30660
0.72,94%,31092
0.68,97%,30948
0.67,97%,31076
0.84,90%,31100
0.69,95%,31088
0.68,97%,30976
0.80,94%,31024
0.70,95%,30896
0.68,95%,30848
0.72,94%,30588
0.73,93%,30964
0.72,93%,30724
0.71,94%,30904
0.78,94%,31024
0.69,94%,31160
0.67,97%,31136
0.71,95%,31060
0.72,96%,31076
0.73,96%,31064
0.67,96%,31024
0.75,91%,31056
0.68,97%,30900
0.70,95%,31020
0.67,97%,30788
0.79,90%,31052
0.70,95%,30828
0.69,95%,30960
0.79,96%,31100
0.71,95%,31060
0.70,97%,31088
0.80,95%,31084
0.78,93%,31080
0.71,94%,30880
0.67,97%,31088
0.69,94%,31012
0.82,92%,31092
0.74,92%,31072
0.68,97%,30936
0.71,94%,31076
0.72,94%,30956
0.70,94%,30952
0.71,97%,31096
0.77,90%,31232
0.69,96%,30904
0.71,95%,31080
0.70,93%,31084
0.70,96%,31200
0.68,97%,30904
0.75,97%,31112
0.76,90%,31076
0.69,95%,31008
0.74,93%,31080
0.73,94%,31100
0.77,96%,30896
0.72,95%,31084
0.74,98%,31096
0.69,95%,31096
0.71,95%,31092
0.72,94%,31028
0.68,96%,31100
0.69,95%,31020
0.68,96%,31076
0.69,94%,31028
0.68,97%,31016
0.70,95%,31076
0.78,96%,31208
0.81,94%,31020
0.69,95%,31088
0.76,94%,31040
0.80,94%,31068
0.71,95%,31040
0.71,95%,30860
0.72,94%,31080
0.71,95%,30776
0.69,96%,31092
0.69,96%,31096
0.72,94%,31044
0.72,94%,31144
0.72,95%,30908
0.68,95%,31184
0.81,93%,31092
0.70,95%,30996
0.75,92%,31016
0.75,91%,31136
0.74,91%,31020
