runtime,cpu_usage,memory
1.90,304%,975024
1.90,304%,975064
1.90,305%,975056
1.98,297%,975108
1.92,302%,975128
1.90,308%,974908
1.91,306%,974696
1.97,300%,975020
1.95,304%,975268
1.96,304%,975320
1.94,305%,975196
1.94,305%,975072
2.01,299%,974876
2.02,298%,974776
1.93,306%,975076
4.14,307%,963412
1.94,305%,975096
1.96,304%,975084
4.09,311%,963500
1.98,299%,974828
1.95,304%,975112
2.07,311%,974800
2.19,345%,964884
1.92,307%,974996
2.17,346%,964772
1.99,300%,975196
2.34,338%,964864
1.99,320%,964672
2.13,332%,972860
1.97,300%,975092
2.22,342%,964528
2.00,303%,974940
3.86,281%,964824
2.37,271%,963176
1.93,306%,975008
1.95,305%,975020
1.96,305%,975224
2.06,299%,975252
2.19,308%,975068
2.15,309%,975140
2.16,309%,974952
2.19,342%,964624
2.11,303%,975168
2.14,308%,974696
2.19,344%,965000
2.14,306%,975148
2.16,312%,975060
2.14,309%,974980
2.18,346%,964476
2.13,303%,975156
2.13,313%,975364
2.15,310%,974920
2.14,311%,975208
2.15,311%,975292
2.15,311%,974976
2.15,309%,975212
2.23,301%,975156
2.14,311%,975252
2.17,308%,975240
2.15,310%,975104
2.14,309%,974852
2.17,323%,964884
2.16,310%,975012
2.16,306%,974884
2.14,310%,974948
2.14,311%,975036
2.18,306%,974400
2.14,311%,975264
2.14,311%,975060
2.15,309%,974580
2.17,308%,975104
2.13,307%,975192
2.16,310%,974676
2.15,311%,975292
2.19,342%,964972
2.10,304%,974992
2.14,311%,975568
2.15,310%,975124
2.17,309%,974828
2.15,311%,974992
2.17,309%,972972
2.14,309%,974720
2.15,313%,975064
2.16,322%,964904
2.15,310%,974572
2.15,310%,974860
2.15,310%,975024
2.15,311%,974844
2.15,308%,974904
2.15,310%,975020
2.14,311%,974984
2.16,309%,975040
2.16,308%,975064
2.17,309%,973080
2.15,310%,974908
2.16,308%,974940
2.22,341%,964696
2.08,301%,975088
2.15,310%,974832
2.15,311%,975352
