runtime,cpu_usage,memory
7.13,795%,9860
7.13,796%,9860
7.15,795%,9880
7.15,795%,9864
7.14,795%,9876
7.15,795%,9936
7.14,795%,9876
7.16,795%,9940
7.15,795%,9868
7.15,795%,9940
7.14,795%,9864
7.15,795%,9960
7.15,795%,9920
7.15,795%,9940
7.15,795%,9988
7.15,795%,9944
7.16,795%,9976
7.16,795%,10128
7.15,795%,9872
7.15,795%,10060
7.16,795%,9872
7.16,795%,9980
7.15,795%,10128
7.15,795%,9864
7.15,795%,9876
7.16,795%,9876
7.15,795%,9924
7.14,795%,9880
7.13,795%,9848
7.16,795%,9988
7.15,795%,9876
7.13,796%,9944
7.14,795%,9924
7.13,796%,10048
7.16,795%,9868
7.15,795%,9940
7.15,795%,9940
7.16,795%,9996
7.15,795%,9940
7.14,795%,9988
7.15,795%,9892
7.15,795%,9984
7.14,795%,9872
7.15,795%,9876
7.16,795%,9984
7.14,795%,9944
7.13,796%,9944
7.14,796%,9968
7.13,795%,9928
7.15,795%,10064
7.14,795%,9872
7.16,795%,9936
7.15,795%,9860
7.14,795%,9800
7.14,795%,9876
7.15,795%,9872
7.15,795%,10060
7.16,795%,10060
7.16,795%,9788
7.13,796%,10012
7.15,795%,9940
7.13,795%,9980
7.16,795%,9940
7.16,795%,9868
7.15,795%,9888
7.16,795%,9876
7.13,795%,9784
7.13,796%,9940
7.16,795%,9956
7.13,796%,9940
7.16,795%,9984
7.16,795%,9972
7.16,795%,9864
7.14,795%,9948
7.14,795%,9860
7.15,795%,9868
7.17,795%,9984
7.15,795%,9864
7.15,795%,9860
7.15,795%,9948
7.13,796%,9984
7.13,795%,9904
7.14,795%,9872
7.14,795%,10064
7.14,796%,9940
7.14,795%,10064
7.14,795%,9904
7.15,795%,9864
7.14,795%,9860
7.13,795%,9876
7.15,795%,9944
7.15,795%,10064
7.13,796%,10088
7.13,796%,9936
7.16,795%,9960
7.14,795%,9920
7.18,795%,9944
7.13,795%,9864
7.14,795%,9872
7.17,795%,9872
