runtime,cpu_usage,memory
42.78,100%,215736
42.65,100%,215740
51.82,100%,215480
51.50,100%,215736
54.44,100%,215568
51.92,100%,215608
52.86,100%,215608
54.32,100%,215740
50.90,100%,215740
50.25,100%,215608
53.77,100%,215612
43.44,100%,215696
44.99,100%,215480
52.97,100%,215608
53.90,100%,215696
54.79,100%,215440
52.97,100%,215608
51.97,100%,215740
45.98,100%,215720
45.39,100%,215696
47.24,100%,215696
52.98,100%,215608
53.61,100%,215440
45.17,100%,215608
53.43,100%,215740
53.80,100%,215612
45.31,100%,215608
46.71,100%,215740
46.33,99%,215608
54.38,100%,215568
52.04,100%,215736
53.50,100%,215568
54.39,100%,215568
46.32,100%,215740
53.31,100%,215608
54.73,100%,215568
54.47,100%,215736
44.96,100%,215608
45.76,100%,215736
51.70,100%,215736
48.64,99%,215608
52.35,100%,215736
54.34,100%,215740
52.21,100%,215608
52.76,100%,215736
45.30,100%,215480
53.00,100%,215740
53.16,100%,215568
53.04,100%,215608
53.73,100%,215608
53.55,100%,215608
52.20,100%,215540
53.96,100%,215612
52.32,100%,215612
53.82,100%,215612
52.67,100%,215696
52.05,100%,215736
51.80,99%,215660
53.03,100%,215612
53.95,100%,215608
53.18,100%,215736
52.28,100%,215608
42.59,99%,215612
53.02,100%,215480
44.82,100%,215736
52.70,100%,215736
52.87,99%,215736
53.52,100%,215608
52.48,100%,215736
52.60,100%,215736
53.71,100%,215736
53.37,100%,215736
46.97,100%,215608
52.97,100%,215612
52.99,100%,215696
53.93,100%,215612
53.92,100%,215708
53.52,100%,215736
45.44,99%,215484
53.42,99%,215608
44.95,99%,215440
53.78,100%,215608
44.69,99%,215736
47.80,99%,215740
55.00,100%,215736
46.13,100%,215740
53.42,100%,215612
53.96,100%,215608
53.89,100%,215660
53.27,100%,215736
53.26,100%,215736
53.10,100%,215696
54.81,100%,215440
53.45,100%,215608
52.05,99%,215608
44.91,100%,215736
53.55,100%,215740
53.59,100%,215484
45.10,100%,215608
52.93,100%,215568
