runtime,cpu_usage,memory
0.58,780%,34528
0.61,779%,34612
0.58,780%,34508
0.58,779%,34616
0.58,779%,34600
0.61,780%,34568
0.57,780%,34716
0.64,779%,34524
0.61,780%,34588
0.61,779%,34520
0.58,781%,34600
0.58,780%,34640
0.58,779%,34516
0.58,780%,34576
0.60,780%,34596
0.58,780%,34520
0.61,780%,34524
0.58,769%,34732
0.58,780%,34592
0.57,779%,34588
0.58,780%,34556
0.58,779%,34520
0.58,781%,34680
0.58,779%,34604
0.59,780%,34452
0.59,780%,34564
0.58,779%,34604
0.58,779%,34508
0.57,779%,34612
0.60,780%,34520
0.58,779%,34548
0.59,778%,34520
0.58,780%,34608
0.58,780%,34456
0.61,778%,34612
0.62,779%,34616
0.58,781%,34680
0.58,779%,34524
0.58,779%,34600
0.58,780%,34604
0.60,780%,34588
0.58,780%,34608
0.58,781%,34596
0.60,779%,34516
0.58,779%,34660
0.59,779%,34700
0.61,779%,34600
0.58,779%,34680
0.58,781%,34576
0.58,781%,34668
0.60,780%,34584
0.63,780%,34624
0.59,780%,34500
0.58,780%,34576
0.57,780%,34520
0.59,780%,34612
0.59,780%,34520
0.60,781%,34612
0.58,779%,34736
0.58,778%,34752
0.60,778%,34680
0.58,780%,34588
0.58,779%,34528
0.58,780%,34572
0.58,780%,34544
0.58,781%,34576
0.57,780%,34520
0.61,780%,34544
0.58,780%,34596
0.57,780%,34612
0.59,780%,34744
0.58,780%,34612
0.62,779%,34548
0.58,780%,34608
0.58,779%,34580
0.58,780%,34564
0.58,780%,34608
0.58,779%,34520
0.60,779%,34556
0.59,780%,34600
0.59,779%,34588
0.59,778%,34732
0.58,781%,34568
0.58,778%,34552
0.57,780%,34520
0.58,779%,34536
0.58,780%,34612
0.58,780%,34596
0.57,779%,34744
0.58,780%,34592
0.58,780%,34592
0.58,780%,34604
0.58,778%,34628
0.58,779%,34520
0.59,780%,34568
0.61,781%,34592
0.58,780%,34484
0.59,780%,34672
0.60,780%,34436
0.59,778%,34572
