runtime,cpu_usage,memory
3.71,99%,940
3.72,99%,940
3.71,100%,940
3.71,99%,940
3.70,100%,940
3.71,99%,940
3.70,100%,940
3.71,100%,940
3.71,100%,940
3.70,100%,940
3.71,100%,940
3.71,99%,940
3.71,100%,940
3.71,99%,940
3.70,100%,940
3.71,100%,940
3.71,100%,940
3.70,100%,940
3.71,100%,940
3.72,99%,940
3.71,100%,940
3.71,100%,940
3.72,99%,940
3.71,100%,940
3.71,100%,940
3.71,100%,940
3.70,100%,940
3.71,100%,940
3.71,99%,940
3.72,100%,940
3.71,100%,940
3.71,100%,940
3.71,100%,940
3.71,99%,940
3.70,99%,940
3.71,100%,940
3.71,99%,940
3.71,100%,940
3.71,99%,940
3.70,99%,940
3.72,100%,940
3.70,99%,940
3.71,100%,940
3.72,100%,940
3.71,99%,940
3.70,100%,940
3.71,100%,940
3.71,99%,940
3.71,99%,940
3.71,100%,940
3.70,99%,940
3.71,99%,940
3.71,100%,940
3.72,100%,940
3.70,100%,940
3.72,99%,940
3.71,99%,940
3.70,100%,940
3.71,99%,940
3.71,100%,940
3.71,99%,940
3.71,100%,940
3.71,100%,940
3.72,100%,940
3.71,100%,940
3.71,100%,940
3.70,100%,940
3.70,99%,940
3.70,100%,940
3.71,99%,940
3.71,100%,940
3.72,100%,940
3.72,99%,940
3.71,99%,940
3.71,100%,940
3.71,99%,940
3.70,100%,940
3.71,99%,940
3.71,100%,940
3.71,100%,940
3.71,99%,940
3.71,99%,940
3.71,100%,940
3.71,100%,940
3.71,100%,940
3.71,100%,940
3.71,99%,940
3.71,100%,940
3.71,100%,940
3.71,100%,940
3.71,100%,940
3.70,100%,940
3.71,100%,940
3.71,99%,940
3.71,100%,940
3.70,100%,940
3.71,99%,940
3.71,99%,940
3.71,99%,940
3.71,99%,940
