timestamp,total,psys,package,core,uncore,dram,cpu_temp
2023-10-07T02:38:03,8701943,8516152,8649636,8097025,9704,185791,50000
2023-10-07T02:38:04,8779091,8593057,8700539,8167947,7019,186034,50000
2023-10-07T02:38:05,8576394,8391580,8572732,8032206,7202,184814,51000
2023-10-07T02:38:05,8440957,8253702,8339700,7822185,6774,187255,52000
2023-10-07T02:38:06,8483254,8296060,8356790,7837687,6408,187194,56000
2023-10-07T02:38:07,8712747,8528909,8647073,8125284,7386,183838,53000
2023-10-07T02:38:07,8651101,8465250,8599588,8084391,7019,185851,54000
2023-10-07T02:38:08,8490029,8303018,8391824,7842143,18372,187011,55000
2023-10-07T02:38:08,8481241,8292765,8329569,7808208,5615,188476,56000
2023-10-07T02:38:09,8520120,8332193,8364969,7838969,5615,187927,57000
2023-10-07T02:38:10,8526102,8338602,8430032,7898539,5615,187500,62000
2023-10-07T02:38:10,8449258,8262125,8350748,7811626,7629,187133,55000
2023-10-07T02:38:11,8436685,8249674,8338846,7814921,5493,187011,63000
2023-10-07T02:38:12,8401590,8214762,8302774,7765849,7507,186828,57000
2023-10-07T02:38:12,8488870,8302530,8379922,7848491,7507,186340,62000
2023-10-07T02:38:13,8562233,8374246,8444925,7908061,7141,187987,59000
2023-10-07T02:38:13,8692787,8505715,8538796,8007487,7568,187072,61000
2023-10-07T02:38:14,8607645,8420145,8429605,7884806,5676,187500,59000
2023-10-07T02:38:15,8621560,8434915,8331582,7809245,6714,186645,61000
2023-10-07T02:38:15,8669289,8482644,8414651,7874247,5921,186645,58000
2023-10-07T02:38:16,8678506,8490457,8475321,7932352,6470,188049,59000
2023-10-07T02:38:17,8589761,8403421,8347634,7821880,7263,186340,62000
2023-10-07T02:38:17,8647012,8459390,8434731,7898845,7385,187622,62000
2023-10-07T02:38:18,8684731,8496865,8480935,7949199,7446,187866,66000
2023-10-07T02:38:19,8709817,8523172,8429788,7885844,5615,186645,61000
2023-10-07T02:38:19,8770607,8583962,8481546,7933329,5920,186645,69000
2023-10-07T02:38:20,8594765,8407998,8393594,7858866,7813,186767,61000
2023-10-07T02:38:20,8692361,8505472,8495461,7950541,6408,186889,64000
2023-10-07T02:38:21,8570718,8384317,8428750,7876628,7324,186401,62000
2023-10-07T02:38:22,8641030,8453958,8458719,7921733,6348,187072,63000
2023-10-07T02:38:22,8667336,8481118,8454690,7932169,6225,186218,61000
2023-10-07T02:38:23,8629617,8443033,8378640,7850932,5921,186584,61000
2023-10-07T02:38:24,8757424,8570047,8521646,7976969,7080,187377,63000
2023-10-07T02:38:24,8692239,8503763,8453958,7920756,6165,188476,61000
2023-10-07T02:38:25,8764504,8576516,8536539,7996562,6897,187988,64000
2023-10-07T02:38:26,8670815,8483133,8487710,7950297,7385,187682,66000
2023-10-07T02:38:26,8757485,8571084,8561136,8019571,5982,186401,61000
2023-10-07T02:38:27,8784890,8596719,8548501,8006388,7019,188171,62000
2023-10-07T02:38:27,8754251,8567117,8521585,7962932,15686,187134,70000
2023-10-07T02:38:28,8701211,8513772,8457620,7923442,6592,187439,65000
2023-10-07T02:38:29,8916909,8729043,8667276,8106302,16968,187866,68000
2023-10-07T02:38:29,8722573,8535684,8489969,7936503,5859,186889,64000
2023-10-07T02:38:30,8723489,8537088,8534524,7989420,6226,186401,64000
2023-10-07T02:38:31,7947307,7649029,6699690,5762559,6591,298278,49000
2023-10-07T02:38:33,6549604,6111190,4024647,2745598,4577,438414,48000
2023-10-07T02:38:34,6544355,6106002,3990407,2728875,4883,438353,46000
2023-10-07T02:38:35,8308084,8105448,7885112,7373455,6043,202636,58000
2023-10-07T02:38:36,8668129,8481423,8417764,7859721,15625,186706,61000
2023-10-07T02:38:36,8618263,8430581,8393656,7855082,9033,187682,62000
2023-10-07T02:38:37,8610330,8422586,8411111,7873576,6103,187744,62000
2023-10-07T02:38:37,8728677,8541421,8477883,7946635,5676,187256,63000
2023-10-07T02:38:38,8699562,8512246,8528360,7995463,5616,187316,61000
2023-10-07T02:38:39,8719887,8531655,8509988,7971294,6958,188232,62000
2023-10-07T02:38:39,8756935,8568947,8508035,7956401,7690,187988,61000
2023-10-07T02:38:40,8707619,8521706,8431863,7881693,6653,185913,65000
2023-10-07T02:38:41,8831886,8644631,8590554,8050028,5798,187255,62000
2023-10-07T02:38:41,8725501,8537697,8469277,7930583,6287,187804,62000
2023-10-07T02:38:42,8705421,8518349,8446694,7906230,6165,187072,63000
2023-10-07T02:38:42,8689431,8503274,8432656,7894023,6226,186157,64000
2023-10-07T02:38:43,8674599,8486916,8435587,7896891,5799,187683,62000
2023-10-07T02:38:44,8764687,8578103,8503214,7947123,7507,186584,64000
2023-10-07T02:38:44,8781289,8594705,8483499,7951213,5798,186584,70000
2023-10-07T02:38:45,8781594,8594094,8481362,7921794,5554,187500,64000
2023-10-07T02:38:46,8768898,8582375,8448647,7895305,6470,186523,61000
2023-10-07T02:38:46,8776344,8589638,8566811,8009807,7385,186706,70000
2023-10-07T02:38:47,8757484,8571450,8476480,7923686,9461,186034,63000
2023-10-07T02:38:48,8800331,8613869,8520548,7965007,7873,186462,62000
2023-10-07T02:38:48,8757852,8570535,8456033,7899272,6408,187317,65000
2023-10-07T02:38:49,8920508,8732399,8603493,8055582,6592,188109,65000
2023-10-07T02:38:49,8873634,8685890,8563516,8020426,8544,187744,65000
2023-10-07T02:38:50,8896278,8709389,8542946,7970195,16357,186889,69000
2023-10-07T02:38:51,8928688,8741494,8597146,8069071,5493,187194,64000
2023-10-07T02:38:51,9017005,8828163,8663308,8129801,5676,188842,64000
2023-10-07T02:38:52,8885964,8698342,8468362,7944072,6348,187622,64000
2023-10-07T02:38:53,8862527,8676553,8446572,7922404,5371,185974,66000
2023-10-07T02:38:53,9017067,8829873,8609231,8060404,5616,187194,67000
2023-10-07T02:38:54,8977883,8791665,8516031,7978068,7446,186218,74000
2023-10-07T02:38:55,9013038,8826149,8532632,7996806,6164,186889,66000
2023-10-07T02:38:55,8994911,8808510,8486123,7947855,7263,186401,64000
2023-10-07T02:38:56,8978004,8791298,8479593,7946696,6042,186706,66000
2023-10-07T02:38:56,8936012,8749062,8413003,7882793,5371,186950,65000
2023-10-07T02:38:57,9042396,8853920,8531411,7975749,6287,188476,65000
2023-10-07T02:38:58,9135781,8949685,8583718,8047587,5798,186096,69000
2023-10-07T02:38:58,9027626,8839699,8496377,7973186,6042,187927,62000
2023-10-07T02:38:59,9061073,8874245,8508401,7984110,6104,186828,62000
2023-10-07T02:39:00,8952369,8764992,8487466,7954264,6897,187377,70000
2023-10-07T02:39:00,9062355,8873818,8558877,7992655,6897,188537,65000
2023-10-07T02:39:01,9119423,8918923,8603738,8030253,16906,200500,68000
2023-10-07T02:39:02,9019202,8831398,8558999,7979594,20630,187804,66000
2023-10-07T02:39:02,8946510,8759194,8503213,7947795,6043,187316,64000
2023-10-07T02:39:03,9079689,8891579,8650612,8100504,7812,188110,72000
2023-10-07T02:39:03,8969276,8781715,8499551,7958048,6104,187561,66000
2023-10-07T02:39:04,9029518,8841775,8509927,7989177,6531,187743,63000
2023-10-07T02:39:05,8942605,8754617,8469034,7943461,6042,187988,66000
2023-10-07T02:39:05,9121802,8934730,8509072,7976115,7996,187072,72000
2023-10-07T02:39:06,9012245,8825234,8474709,7948466,5859,187011,69000
2023-10-07T02:39:07,9052284,8865029,8565591,8027629,6164,187255,66000
2023-10-07T02:39:07,8967933,8781166,8444925,7905436,7081,186767,65000
2023-10-07T02:39:08,9006874,8820046,8406472,7880168,5615,186828,62000
2023-10-07T02:39:08,9044960,8858559,8460062,7930277,7263,186401,65000
