runtime,cpu_usage,memory
0.68,100%,3888
0.59,99%,3872
0.60,99%,3864
0.59,100%,3980
0.59,100%,3880
0.59,99%,3848
0.59,99%,3628
0.59,99%,3908
0.59,99%,3856
0.59,100%,3892
0.59,99%,3884
0.59,100%,3752
0.59,100%,3956
0.59,100%,3756
0.59,99%,3752
0.59,99%,3980
0.59,99%,3652
0.59,100%,3948
0.59,100%,3852
0.59,100%,3744
0.59,99%,3884
0.59,100%,3756
0.59,99%,3708
0.59,100%,3860
0.59,100%,3956
0.59,100%,3672
0.59,100%,3752
0.59,100%,3956
0.59,100%,3836
0.59,100%,3756
0.59,99%,3820
0.59,100%,3896
0.59,100%,3724
0.68,100%,3836
0.59,100%,3816
0.59,100%,3752
0.60,100%,3940
0.59,100%,3908
0.59,99%,3868
0.60,99%,3880
0.60,100%,3880
0.59,100%,3872
0.59,99%,3812
0.59,100%,3756
0.59,99%,3852
0.59,99%,3672
0.59,100%,3888
0.59,99%,3740
0.67,100%,3880
0.59,100%,3848
0.59,100%,3836
0.59,99%,3688
0.59,100%,3840
0.59,100%,3696
0.59,100%,3820
0.59,100%,3952
0.59,100%,3848
0.59,99%,3868
0.59,100%,3948
0.59,100%,3820
0.59,100%,3892
0.66,99%,3852
0.59,100%,3860
0.59,100%,3880
0.59,99%,3652
0.59,99%,3952
0.59,100%,3884
0.59,99%,3752
0.59,100%,3836
0.59,100%,3824
0.59,100%,3728
0.59,100%,3872
0.60,100%,3920
0.59,100%,3852
0.59,100%,3724
0.59,99%,3916
0.59,100%,3864
0.59,100%,3820
0.68,100%,3872
0.59,99%,3948
0.59,100%,3848
0.67,99%,3852
0.59,100%,3728
0.59,100%,3948
0.59,99%,3964
0.59,99%,3940
0.60,100%,3712
0.59,100%,3820
0.59,100%,3652
0.59,100%,3768
0.59,100%,3876
0.59,99%,3900
0.59,99%,3956
0.59,100%,3840
0.59,99%,3712
0.59,99%,3812
0.59,100%,3744
0.59,100%,3756
0.59,99%,3820
0.60,100%,3752
