timestamp,total,psys,package,core,uncore,dram,cpu_temp
2023-10-07T03:01:07,180287990,175302346,176522253,165646060,21668,4985644,60000
2023-10-07T03:01:24,171769031,165450016,154111972,139114085,10132,6319015,60000
2023-10-07T03:01:41,171178823,164870428,153545627,138541576,7263,6308395,59000
2023-10-07T03:01:56,178013216,172359727,166661438,153680027,6836,5653489,61000
2023-10-07T03:02:10,179214568,173548201,166473451,153318760,16540,5666367,64000
2023-10-07T03:02:22,184180254,179242034,177684116,166634644,8545,4938220,68000
2023-10-07T03:02:39,175553628,169229975,154799836,139539499,6043,6323653,62000
2023-10-07T03:02:52,189827029,184839310,179158782,168014035,6164,4987719,65000
2023-10-07T03:03:06,184723771,179051178,166719849,153555820,18005,5672593,69000
2023-10-07T03:03:23,176789403,170545828,153077489,137976515,10010,6243575,66000
2023-10-07T03:03:40,175773048,169541619,152469092,137410659,6287,6231429,68000
2023-10-07T03:03:55,182136252,176514685,164375556,151351480,7446,5621567,65000
2023-10-07T03:04:12,177693515,171426258,153863803,138733287,16296,6267257,64000
2023-10-07T03:04:27,179922574,174318158,166296083,153283360,11474,5604416,63000
2023-10-07T03:04:44,174683024,168353084,155034393,139839913,5250,6329940,62000
2023-10-07T03:05:01,174546489,168185483,155214569,139936775,17334,6361006,64000
2023-10-07T03:05:18,173687117,167351440,154470796,139206369,8178,6335677,64000
2023-10-07T03:05:35,173869061,167543272,154512788,139288706,6592,6325789,64000
2023-10-07T03:05:52,173514449,167139526,153906467,138480419,7629,6374923,65000
2023-10-07T03:06:10,176181556,169775017,156195768,140698248,18127,6406539,65000
2023-10-07T03:06:22,187854072,182873372,180031461,168832027,9888,4980700,69000
2023-10-07T03:06:39,182406271,176015418,158077293,142771607,7447,6390853,66000
2023-10-07T03:06:56,179381133,173028305,155678069,140403815,5738,6352828,62000
2023-10-07T03:07:11,182603597,176949376,165492130,152358802,20141,5654221,62000
2023-10-07T03:07:26,185188063,179498564,166049441,152732763,9095,5689499,50000
2023-10-07T03:07:42,178553376,172351609,155071808,140304694,4517,6201767,63000
2023-10-07T03:08:00,177749789,171387867,154381868,139129771,5920,6361922,64000
2023-10-07T03:08:14,183591877,177934237,166493531,153280553,17273,5657640,64000
2023-10-07T03:08:29,183348041,177719515,164755072,151708351,9155,5628526,64000
2023-10-07T03:08:46,177282627,171027638,152780493,137636488,5737,6254989,65000
2023-10-07T03:09:04,175652077,169115656,150550091,134596457,18372,6536421,47000
2023-10-07T03:09:18,184880813,179517607,169477532,157220423,7202,5363206,61000
2023-10-07T03:09:32,184417496,178769195,166285219,153132970,6165,5648301,66000
2023-10-07T03:09:49,179998136,173645430,154758149,139559579,8057,6352706,64000
2023-10-07T03:10:07,178466279,172097338,154958039,139606332,17761,6368941,70000
2023-10-07T03:10:21,184368974,178688324,168368527,155106231,10071,5680650,66000
2023-10-07T03:10:36,192550959,186747813,173429183,159829364,6225,5803146,65000
2023-10-07T03:10:54,179068328,172742966,153696079,138521740,17395,6325362,62000
2023-10-07T03:11:11,179056122,172681321,155006866,139672433,15381,6374801,64000
2023-10-07T03:11:26,185432266,179734587,167523802,154228487,8545,5697679,65000
2023-10-07T03:11:43,178949920,172619858,153719150,138533580,5859,6330062,62000
2023-10-07T03:11:55,193805106,188726506,183093159,171659717,6043,5078600,65000
2023-10-07T03:12:12,180057400,173693281,154066561,138898021,15686,6364119,68000
2023-10-07T03:12:27,184074846,178415192,166256288,153088597,9949,5659654,66000
2023-10-07T03:12:42,186601329,180911646,168189938,154914398,8484,5689683,64000
2023-10-07T03:12:57,178901398,173198349,156051846,142619386,5677,5703049,67000
2023-10-07T03:13:14,178545014,172204210,154028353,138828075,18433,6340804,62000
2023-10-07T03:13:26,188281868,183321919,177361241,166290223,11841,4959949,64000
2023-10-07T03:13:41,185178725,179543852,165533023,152403418,6714,5634873,65000
2023-10-07T03:13:58,178568513,172260912,153876987,138617382,6104,6307601,73000
2023-10-07T03:14:15,176241431,170036430,152524207,137563185,14892,6205001,64000
2023-10-07T03:14:32,179298369,172942734,154769929,139519907,9338,6355635,63000
2023-10-07T03:14:47,183871782,178200898,166688660,153546726,6958,5670884,65000
2023-10-07T03:15:04,177336765,171076527,152290382,137233657,16785,6260238,68000
2023-10-07T03:15:21,177401462,171128041,153995700,138881724,10071,6273421,64000
2023-10-07T03:15:35,182349387,176722692,164096687,151023173,5859,5626695,64000
2023-10-07T03:15:50,186378368,180698634,168315426,155071075,5554,5679734,66000
2023-10-07T03:16:07,180269009,173908979,154477876,139259348,19532,6360030,62000
2023-10-07T03:16:24,178628266,172249010,154069308,138634655,8789,6379256,63000
2023-10-07T03:16:39,181724876,176079261,164680181,151610757,5921,5645615,69000
2023-10-07T03:16:51,191834470,186869822,178332063,167262328,14465,4964648,67000
2023-10-07T03:17:08,182466268,176102393,155356536,140097480,17944,6363875,64000
2023-10-07T03:17:25,176877050,170534903,153630588,138456494,9155,6342147,62000
2023-10-07T03:17:42,177105504,170850332,154086459,139136973,6409,6255172,46000
2023-10-07T03:17:55,187510262,182511068,175724586,164613471,4577,4999194,67000
2023-10-07T03:18:09,187313181,181614953,167318419,154112643,15137,5698228,71000
2023-10-07T03:18:26,181882835,175536660,154206209,139016490,10498,6346175,63000
2023-10-07T03:18:39,189508487,184543290,178888275,167807065,7385,4965197,64000
2023-10-07T03:18:53,186413159,180762355,166966919,153869540,6958,5650804,66000
2023-10-07T03:19:06,192204891,187218332,177609286,166493043,17762,4986559,65000
2023-10-07T03:19:18,194268850,189278690,179693266,168544002,9766,4990160,64000
2023-10-07T03:19:35,182704184,176333778,154295503,139069957,5859,6370406,69000
2023-10-07T03:19:52,177735752,171386036,152666052,137470046,5738,6349716,62000
2023-10-07T03:20:04,189840640,184864395,178074434,166979736,17639,4976245,66000
2023-10-07T03:20:22,177880282,171507190,151118754,135786335,9949,6373092,62000
2023-10-07T03:20:34,187932136,182996296,176036476,165038030,6775,4935840,66000
2023-10-07T03:20:46,189775820,184840347,177587620,166561585,7568,4935473,69000
