runtime,cpu_usage,memory
12.16,100%,770608
16.99,99%,770608
16.96,100%,770480
14.52,100%,770352
14.55,99%,770352
12.07,100%,770612
16.98,99%,770480
12.26,100%,770608
14.57,99%,770484
16.94,99%,770480
16.93,99%,770360
14.50,100%,770320
17.00,100%,770312
14.53,100%,770376
16.97,99%,770612
17.04,99%,770608
16.99,99%,770608
16.96,100%,770592
17.13,99%,770608
17.24,99%,770608
12.22,100%,770608
17.07,100%,770588
17.05,99%,770560
14.58,100%,770596
14.70,100%,770612
16.72,99%,770472
17.00,100%,770340
14.59,99%,770552
14.46,99%,770544
16.99,100%,770240
17.80,100%,770564
13.74,99%,770484
14.53,99%,770464
17.05,99%,770508
17.07,100%,770480
14.64,99%,770516
15.09,99%,770492
16.96,100%,770352
17.08,99%,770372
14.76,100%,770612
16.98,99%,770376
12.58,99%,770496
16.97,100%,770448
14.61,99%,770448
14.67,99%,770612
14.95,100%,770480
16.96,99%,770608
12.14,100%,770368
14.49,99%,770568
17.08,99%,770508
16.91,99%,770512
17.05,99%,770572
14.61,100%,770504
16.93,99%,770240
16.95,100%,770448
14.52,100%,770504
14.64,99%,770504
17.04,100%,770520
17.13,100%,770240
14.52,99%,770536
12.16,100%,770552
17.04,100%,770380
17.00,100%,770536
16.64,99%,770440
12.32,100%,770368
14.64,100%,770484
17.02,100%,770252
12.17,99%,770608
14.54,100%,770608
12.19,99%,770608
12.24,100%,770608
17.07,100%,770604
17.03,100%,770500
12.15,100%,770608
17.12,100%,770368
12.06,100%,770612
12.06,99%,770608
12.10,99%,770352
14.37,100%,770480
17.23,100%,770608
16.86,99%,770608
12.79,99%,770608
12.14,100%,770372
14.74,99%,770496
14.51,100%,770252
12.08,100%,770532
17.09,100%,770580
15.02,99%,770608
15.01,100%,770500
17.12,100%,770376
19.03,99%,770496
12.57,100%,770608
12.59,100%,770496
17.35,100%,770496
17.02,100%,770608
14.53,99%,770612
14.47,99%,770608
14.51,100%,770504
12.06,100%,770484
12.07,99%,770460
