runtime,cpu_usage,memory
0.48,797%,2944
0.48,798%,3072
0.48,798%,3328
0.48,798%,3072
0.48,799%,3200
0.48,798%,2816
0.48,798%,3328
0.48,798%,2944
0.48,799%,3200
0.48,797%,3072
0.48,798%,3328
0.48,798%,3072
0.48,799%,3200
0.48,799%,2944
0.48,798%,3072
0.48,799%,3072
0.48,798%,2944
0.49,798%,3200
0.72,798%,3072
1.18,798%,3072
1.18,798%,2944
0.92,798%,2944
0.48,798%,3072
0.49,798%,3072
0.49,798%,3072
0.49,799%,3072
0.49,799%,3200
0.50,798%,2944
0.75,799%,3072
1.18,798%,3072
1.18,798%,2816
0.89,798%,3072
0.48,799%,3072
0.49,798%,2944
0.50,798%,3072
0.50,799%,3072
0.50,798%,2944
0.50,799%,2944
0.83,799%,2944
1.18,798%,2816
1.18,798%,3072
0.82,798%,3072
0.49,799%,2944
0.50,798%,3072
0.50,799%,3072
0.50,799%,3200
0.50,798%,2944
0.51,799%,3072
0.94,796%,3328
1.18,798%,2944
1.18,798%,3072
0.71,797%,2944
0.49,799%,3072
0.50,798%,3072
0.50,799%,3072
0.50,799%,2816
0.50,798%,3072
0.57,798%,2944
1.16,798%,3072
1.18,798%,2944
1.18,798%,3072
0.48,798%,3072
0.49,799%,3328
0.50,799%,3072
0.50,798%,2944
0.58,798%,3200
0.64,799%,2944
0.64,798%,3072
0.64,798%,2816
0.64,798%,2816
0.64,798%,3200
0.64,799%,3328
0.64,798%,3072
0.64,798%,3200
0.64,798%,2944
0.64,798%,3072
0.64,798%,3200
0.64,798%,3072
0.64,798%,3072
0.64,798%,3200
0.64,798%,2944
0.64,799%,3072
0.64,799%,3072
0.64,799%,3072
0.64,799%,3072
0.64,798%,2944
0.64,798%,2944
0.64,798%,2816
0.64,799%,2944
0.64,798%,3200
0.64,799%,2944
0.64,798%,2944
0.64,798%,3072
0.63,799%,2944
0.64,798%,3072
0.64,798%,3328
0.64,798%,2944
0.64,799%,3072
0.64,798%,2944
0.64,798%,2944
