runtime,cpu_usage,memory
6.46,399%,5540
6.48,398%,5696
6.46,398%,5696
6.48,398%,5696
6.48,399%,5696
6.49,399%,5696
6.49,398%,5696
6.48,399%,5696
6.50,399%,5696
6.46,399%,5748
6.47,399%,5692
6.46,398%,5696
6.50,399%,5696
6.46,399%,5528
6.47,399%,5696
6.47,399%,5748
6.48,398%,5692
6.46,399%,5696
6.47,399%,5692
6.48,399%,5532
6.47,398%,5532
6.46,399%,5532
6.46,399%,5752
6.47,398%,5696
6.49,399%,5696
6.49,399%,5700
6.46,398%,5748
6.48,398%,5696
6.46,399%,5696
6.48,398%,5696
6.47,399%,5696
6.47,398%,5696
6.50,398%,5536
6.48,398%,5692
6.47,398%,5696
6.48,398%,5696
6.46,399%,5532
6.47,399%,5704
6.46,399%,5532
6.46,398%,5692
6.49,398%,5696
6.49,399%,5700
6.49,398%,5532
6.46,399%,5748
6.46,399%,5696
6.46,399%,5696
6.48,398%,5696
6.46,398%,5540
6.47,398%,5696
6.47,398%,5700
6.47,399%,5696
6.47,398%,3480
6.47,398%,5696
6.46,399%,5528
6.47,398%,5540
6.47,398%,5696
6.47,398%,5696
6.49,399%,5696
6.47,398%,5696
6.46,399%,5696
6.47,398%,5696
6.49,398%,5696
6.49,398%,5696
6.47,398%,5576
6.51,398%,5696
6.48,398%,5540
6.47,399%,5532
6.46,398%,5532
6.49,398%,5696
6.51,398%,5696
6.48,399%,5700
6.46,399%,5696
6.47,399%,5696
6.48,398%,5692
6.48,398%,5696
6.48,399%,5696
6.48,399%,5692
6.46,398%,5696
6.46,399%,5696
6.49,399%,5696
6.47,398%,5696
6.50,398%,5700
6.47,398%,5696
6.48,398%,5532
6.46,399%,5696
6.46,398%,5696
6.47,399%,5748
6.47,398%,5696
6.47,398%,5696
6.48,398%,5696
6.49,398%,3484
6.47,398%,3644
6.48,398%,5696
6.50,399%,5692
6.47,398%,5696
6.46,399%,5696
6.47,398%,5696
6.48,398%,5532
6.48,398%,5696
6.51,398%,5696
