runtime,cpu_usage,memory
3.23,746%,172240
3.35,730%,170440
3.21,747%,170564
3.34,722%,170872
3.22,749%,170444
3.27,740%,172332
3.23,747%,170548
3.25,746%,168540
3.22,750%,170112
3.22,749%,170840
3.25,747%,170240
3.26,742%,170156
3.28,745%,169960
3.25,745%,171024
3.22,746%,170936
3.24,744%,169120
3.27,742%,171032
3.23,747%,170944
3.20,748%,170452
3.33,738%,168676
3.38,731%,172316
3.24,745%,170172
3.25,744%,170236
3.25,746%,170240
3.25,744%,170396
3.26,737%,171544
3.23,747%,170152
3.25,744%,168252
3.21,749%,169052
3.22,750%,168392
3.31,737%,170160
3.27,742%,169040
3.48,722%,170288
3.21,751%,170656
3.26,744%,170136
3.23,747%,170564
3.26,739%,170388
3.23,750%,169448
3.31,738%,170244
3.23,747%,171108
3.24,748%,168484
3.30,738%,170108
3.23,747%,172156
3.21,745%,170616
3.24,740%,168376
3.22,748%,172232
3.29,740%,170508
3.25,738%,172184
3.26,744%,168548
3.30,742%,170292
3.23,749%,168400
3.20,744%,169180
3.26,746%,172220
3.22,740%,170396
3.25,747%,169180
3.25,742%,170604
3.24,746%,168656
3.21,747%,170280
3.22,749%,169180
3.34,735%,169932
3.21,746%,170184
3.20,747%,170816
3.23,742%,170276
3.22,744%,171152
3.18,748%,170700
3.25,744%,170308
3.24,741%,170924
3.24,749%,168484
3.32,741%,170336
3.31,729%,170836
3.23,743%,169512
3.24,744%,169060
3.22,751%,172240
3.22,745%,170200
3.27,742%,168356
3.24,744%,170484
3.29,738%,170328
3.22,745%,170808
3.28,738%,171204
3.24,743%,170312
3.33,739%,168664
3.33,732%,170948
3.33,724%,170020
3.27,745%,169432
3.24,746%,170088
3.22,751%,170808
3.23,747%,171224
3.20,748%,170452
3.22,749%,170224
3.24,735%,170188
3.23,745%,168716
3.25,735%,171948
3.24,749%,171284
3.27,741%,169172
3.22,749%,171164
3.22,750%,170964
3.36,739%,170008
3.27,740%,168416
3.25,745%,170164
3.24,742%,168948
