runtime,cpu_usage,memory
2.25,792%,36608
2.25,794%,36992
2.24,793%,36736
2.27,796%,36736
2.28,795%,36736
2.28,795%,36736
2.27,794%,36608
2.28,794%,36608
2.86,793%,36736
3.70,796%,36736
2.29,792%,36864
3.03,795%,36736
3.51,797%,36864
2.30,794%,36608
4.26,797%,36608
2.28,795%,36992
2.42,793%,36736
4.36,798%,36864
2.27,797%,36736
2.60,794%,36608
4.12,796%,36608
2.28,795%,36608
2.67,795%,36608
2.81,795%,36864
2.79,797%,36736
2.79,796%,36864
2.78,794%,36864
2.78,796%,36736
2.78,795%,36992
2.77,796%,36736
2.77,794%,36608
2.77,796%,36480
2.77,795%,36864
2.77,796%,36736
2.77,796%,36608
2.77,793%,36992
2.77,796%,36736
2.77,793%,36864
2.76,796%,36608
2.76,796%,36608
2.76,795%,36608
2.77,795%,36736
2.76,796%,36864
2.77,795%,36864
2.77,794%,36736
2.77,795%,36736
2.77,795%,36864
2.78,796%,36864
2.77,796%,36864
2.77,796%,36608
2.77,796%,36608
2.76,796%,36864
2.76,794%,36608
2.77,795%,36736
2.76,796%,36736
2.77,795%,36736
2.77,795%,36480
2.77,794%,36864
2.77,795%,36736
2.77,793%,36608
2.76,795%,36480
2.77,795%,36608
2.77,794%,36736
2.77,794%,36736
2.76,796%,36736
2.77,796%,36608
2.77,794%,36736
2.77,795%,36608
2.77,796%,36608
2.77,796%,36864
2.77,795%,36608
2.78,792%,36992
2.77,794%,36608
2.77,796%,36864
2.77,795%,36608
2.77,795%,36608
2.76,796%,36608
2.78,792%,36992
2.77,795%,36864
2.77,795%,36864
2.77,796%,36736
2.77,796%,36992
2.78,795%,36608
2.77,795%,36736
2.77,796%,36480
2.77,795%,36736
2.77,796%,36736
2.77,796%,36864
2.77,794%,36608
2.77,795%,36864
2.77,796%,36736
2.77,795%,36736
2.77,796%,36736
2.77,794%,36608
2.77,794%,37120
2.77,796%,36736
2.77,794%,36608
2.77,795%,36736
2.77,796%,36864
2.77,795%,36608
