runtime,cpu_usage,memory
3.86,100%,3652
3.85,100%,3652
3.85,100%,3656
3.84,100%,3648
3.85,100%,3652
3.85,100%,3652
3.85,100%,3652
3.83,100%,3648
3.83,100%,3656
3.84,100%,3652
3.85,100%,3652
3.85,100%,3652
3.85,100%,3656
3.84,100%,3652
3.84,100%,3652
3.85,100%,3652
3.83,100%,3652
3.84,100%,3652
3.85,100%,3652
3.84,100%,3652
3.84,100%,3656
3.84,100%,3648
3.84,100%,3652
3.85,100%,3652
3.85,100%,3648
3.84,100%,3652
3.85,100%,3652
3.85,100%,3652
3.85,100%,3652
3.85,100%,3648
3.85,100%,3652
3.85,100%,3652
3.85,100%,3652
3.85,100%,3652
3.85,100%,3656
3.83,100%,3652
3.85,100%,3652
3.81,100%,3652
3.84,100%,3652
3.84,100%,3652
3.79,100%,3652
3.85,100%,3652
3.85,100%,3652
3.85,100%,3648
3.85,100%,3652
3.80,100%,3652
3.85,100%,3652
3.88,100%,3656
3.85,100%,3648
3.85,100%,3652
3.85,100%,3652
3.85,100%,3652
3.86,100%,3648
3.85,100%,3652
3.85,100%,3648
3.85,100%,3652
3.82,100%,3652
3.85,100%,3652
3.84,100%,3648
3.85,100%,3652
3.85,100%,3652
3.84,100%,3652
3.83,100%,3652
3.85,100%,3652
3.86,100%,3652
3.85,100%,3652
3.85,100%,3652
3.85,100%,3652
3.85,100%,3652
3.85,100%,3652
3.85,100%,3656
3.84,100%,3652
3.83,100%,3652
3.85,100%,3652
3.85,100%,3648
3.85,100%,3656
3.85,100%,3652
3.85,100%,3652
3.85,100%,3652
3.84,100%,3652
3.85,100%,3652
3.85,100%,3652
3.85,100%,3652
3.84,100%,3652
3.85,100%,3656
3.83,100%,3652
3.85,100%,3652
3.85,100%,3656
3.85,100%,3652
3.85,100%,3656
3.79,100%,3652
3.84,100%,3652
3.82,100%,3652
3.81,100%,3652
3.85,100%,3652
3.85,100%,3652
3.85,100%,3648
3.85,100%,3652
3.85,100%,3648
3.85,100%,3652
