runtime,cpu_usage,memory
20.04,575%,345928
20.38,577%,347392
20.28,573%,313376
20.86,586%,344152
20.69,582%,352060
19.90,577%,351184
19.82,571%,346868
21.48,569%,292016
20.51,585%,345736
20.16,569%,345692
20.79,559%,391392
20.11,588%,325948
20.22,572%,345824
20.81,555%,312876
20.17,568%,351628
21.06,562%,372756
20.10,583%,345492
20.04,587%,349108
20.87,542%,297896
20.21,562%,349116
20.00,576%,355796
19.86,572%,345904
20.25,574%,339496
20.80,573%,336900
21.13,578%,346588
20.89,559%,349264
20.13,562%,349264
19.82,574%,347228
20.04,574%,349264
20.90,578%,346432
20.22,563%,349344
20.52,577%,361652
20.44,552%,293632
20.40,561%,359604
20.78,583%,359548
20.46,556%,300064
20.08,575%,352092
20.37,578%,347340
19.56,563%,349076
21.49,562%,291900
20.62,585%,349448
20.93,590%,349540
20.34,580%,359716
19.89,589%,349268
20.86,564%,348960
19.80,574%,359612
20.49,579%,359524
20.45,580%,347840
20.54,563%,347384
20.47,579%,318652
19.99,582%,350712
20.05,597%,353124
20.30,562%,345232
20.36,592%,349408
21.17,556%,316136
20.59,578%,352216
20.40,582%,347012
20.99,565%,349540
19.28,577%,349340
20.53,585%,347412
19.97,565%,349292
20.50,567%,352936
20.06,576%,353828
20.71,554%,292020
19.60,579%,349288
21.00,563%,347056
20.79,557%,349344
19.98,556%,359624
19.78,593%,351372
20.54,571%,352992
19.83,553%,349240
20.88,586%,331024
19.85,554%,390992
19.81,563%,355052
20.06,568%,348424
20.09,575%,399812
20.61,555%,286416
20.86,589%,346016
20.65,569%,345196
20.91,565%,357256
19.80,606%,345504
20.54,558%,317312
20.43,565%,347560
20.52,575%,347736
20.64,592%,346068
20.41,584%,384912
19.96,591%,349232
19.91,570%,340488
20.30,563%,387368
21.04,579%,350116
21.28,567%,346072
19.82,569%,349372
20.26,580%,345668
19.81,605%,343388
20.67,551%,315420
19.85,570%,360348
20.31,576%,346372
20.54,558%,288404
20.72,572%,345856
20.28,579%,301940
