runtime,cpu_usage,memory
1.49,215%,1433532
1.50,218%,1738868
1.50,219%,1749288
1.51,217%,1744240
1.50,217%,1747400
1.49,218%,1743792
1.50,218%,1746880
1.50,218%,1740916
1.50,218%,1744164
1.51,216%,1746892
1.50,217%,1751696
1.50,218%,1745068
1.50,218%,1742532
1.50,218%,1747844
1.49,218%,1749248
1.48,215%,1431616
1.49,216%,1431640
1.50,219%,1753304
1.50,218%,1749884
1.50,218%,1747852
1.50,217%,1749000
1.48,215%,1432804
1.50,217%,1749844
1.50,219%,1743528
1.50,218%,1736916
1.48,215%,1432036
1.49,216%,1432028
1.50,218%,1741480
1.50,217%,1747572
1.49,216%,1431552
1.51,217%,1743416
1.50,219%,1749604
1.50,218%,1749024
1.49,216%,1432788
1.50,218%,1745980
1.50,217%,1738832
1.50,217%,1748080
1.50,218%,1747908
1.50,218%,1741740
1.49,218%,1750244
1.50,218%,1745544
1.51,217%,1745716
1.50,218%,1746012
1.51,218%,1724560
1.51,217%,1743000
1.50,219%,1718440
1.50,218%,1747032
1.50,217%,1741500
1.51,218%,1743400
1.50,218%,1753828
1.50,218%,1749664
1.50,217%,1747952
1.50,218%,1743488
1.50,218%,1748684
1.50,218%,1734372
1.50,218%,1743000
1.50,218%,1751228
1.50,218%,1741408
1.51,217%,1751204
1.50,219%,1747948
1.50,218%,1746760
1.50,218%,1753448
1.50,217%,1747092
1.50,218%,1746200
1.50,218%,1748148
1.50,218%,1740852
1.50,217%,1747432
1.50,217%,1748500
1.51,217%,1741916
1.50,219%,1747292
1.50,218%,1747108
1.50,219%,1738848
1.50,218%,1747420
1.50,218%,1743936
1.50,218%,1749548
1.50,218%,1742924
1.50,218%,1737256
1.50,218%,1753448
1.49,216%,1432752
1.49,218%,1713852
1.48,216%,1431116
1.50,218%,1746868
1.50,218%,1750052
1.49,216%,1431640
1.50,218%,1749228
1.50,217%,1753620
1.50,218%,1736936
1.50,217%,1720544
1.50,219%,1743100
1.50,218%,1753964
1.49,215%,1431880
1.50,218%,1753556
1.50,217%,1744088
1.50,218%,1747592
1.48,215%,1752040
1.50,218%,1745792
1.48,216%,1431984
1.50,218%,1751716
1.50,218%,1751792
1.48,215%,1431584
