runtime,cpu_usage,memory
0.41,388%,5544
0.40,397%,5552
0.40,396%,3628
0.40,397%,3488
0.40,396%,3756
0.41,396%,3752
0.41,396%,5552
0.40,397%,5552
0.40,397%,5552
0.41,396%,3884
0.40,397%,5608
0.42,388%,5608
0.44,391%,5608
0.40,398%,3500
0.46,371%,5552
0.42,386%,5292
0.42,389%,3500
0.40,396%,5560
0.40,397%,3488
0.40,396%,5560
0.43,385%,5552
0.42,389%,3628
0.41,391%,5552
0.40,396%,3500
0.42,396%,5564
0.40,396%,5552
0.40,396%,3628
0.41,396%,3500
0.41,396%,5548
0.40,397%,3756
0.40,397%,3500
0.41,396%,5548
0.40,397%,3628
0.40,396%,5548
0.40,396%,3756
0.40,397%,3624
0.40,397%,5568
0.40,397%,5608
0.40,397%,3628
0.40,396%,5552
0.41,395%,3752
0.40,397%,3756
0.40,397%,3628
0.40,396%,3500
0.40,397%,5564
0.40,396%,5556
0.40,397%,3500
0.42,388%,3500
0.40,397%,3628
0.42,388%,3500
0.40,396%,3628
0.43,386%,5556
0.40,396%,3756
0.40,397%,5552
0.40,397%,5608
0.40,396%,3628
0.40,396%,5540
0.41,396%,5560
0.40,397%,5552
0.40,396%,3628
0.40,396%,5564
0.41,395%,5560
0.42,397%,3632
0.41,396%,3500
0.45,378%,3500
0.41,397%,5560
0.40,396%,5560
0.40,396%,5560
0.40,396%,3628
0.40,396%,3752
0.40,396%,3500
0.40,396%,5556
0.40,397%,5564
0.40,396%,5612
0.40,397%,3888
0.43,382%,5560
0.40,396%,5552
0.40,397%,5620
0.40,396%,3500
0.40,396%,5552
0.40,397%,3500
0.40,396%,5552
0.40,397%,5548
0.40,397%,3628
0.40,396%,3756
0.40,396%,5608
0.40,396%,3744
0.40,396%,5608
0.40,397%,5548
0.41,392%,5552
0.42,396%,5560
0.40,396%,5548
0.41,394%,5552
0.40,397%,5552
0.40,397%,5540
0.42,396%,5580
0.42,389%,5164
0.40,396%,3488
0.43,387%,3500
0.43,384%,5560
